Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0300l00s001183.c,889015,17502,2341,181317,8742,0,0,0,0.42,0,0,0,0,71,71,0.42,686768
p0300l00s002589.c,899284,17414,2370,183903,8795,0,0,0,0.42,0,0,0,0,73,73,0.42,684584
p0300l00s001869.c,897128,17271,2293,183521,8813,0,0,0,0.42,0,0,0,0,72,72,0.42,704515
p0300l00s000399.c,886170,16997,2218,181405,8728,0,0,0,0.40,0,0,0,0,71,71,0.40,641034
p0300l00s001041.c,869520,16935,2244,178097,8694,0,0,0,0.41,0,0,0,0,67,67,0.41,671470
p0300l00s003233.c,888707,17039,2085,181979,8847,0,0,0,0.41,0,0,0,0,69,69,0.41,698330
p0300l00s001509.c,871503,16603,2083,178277,8847,0,0,0,0.40,0,0,0,0,68,68,0.41,676178
p0300l00s003175.c,872137,17069,2193,178396,8818,0,0,0,0.41,0,0,0,0,70,70,0.41,673590
p0300l00s001243.c,870571,17439,2163,178188,8699,0,0,0,0.41,0,0,0,0,69,69,0.41,713319
p0300l00s002949.c,878882,16833,1087,180125,8707,0,0,0,0.39,0,0,0,0,68,68,0.39,600219
p0300l00s003257.c,906285,17618,2418,184254,8877,0,0,0,0.42,0,0,0,0,72,72,0.42,695963
p0300l00s000459.c,890966,17237,2185,182100,8755,0,0,0,0.41,0,0,0,0,70,70,0.41,716630
p0300l00s001798.c,897038,17005,2190,183151,8745,0,0,0,0.41,0,0,0,0,72,72,0.41,675046
p0300l00s001774.c,882054,17076,2353,180450,8857,0,0,0,0.42,0,0,0,0,72,72,0.42,692815
p0300l00s002969.c,874862,17229,2154,179121,8853,0,0,0,0.41,0,0,0,0,70,70,0.41,679019
p0300l00s002452.c,889634,17387,2549,180902,8854,0,0,0,0.40,0,0,0,0,69,69,0.41,648608
p0300l00s002341.c,900865,17247,2441,184478,8777,0,0,0,0.42,0,0,0,0,73,73,0.42,681477
p0300l00s000086.c,867576,17027,2092,177064,8701,0,0,0,0.40,0,0,0,0,67,67,0.40,671684
p0300l00s002556.c,891375,17392,2357,181568,8783,0,0,0,0.42,0,0,0,0,69,69,0.42,702310
p0300l00s003213.c,893026,17007,2337,182695,8750,0,0,0,0.42,0,0,0,0,72,72,0.42,685042
p0300l00s002049.c,890984,17294,1867,182320,8784,0,0,0,0.41,0,0,0,0,71,71,0.41,669637
p0300l00s002261.c,873444,17216,2234,178406,8707,0,0,0,0.41,0,0,0,0,68,68,0.41,679398
p0300l00s000917.c,898431,17206,2386,183927,8869,0,0,0,0.42,0,0,0,0,73,73,0.42,687283
p0300l00s001800.c,892482,18218,2574,182439,9041,0,0,0,0.46,0,0,0,0,71,71,0.46,707491
p0300l00s000434.c,877879,17175,2230,179592,8745,0,0,0,0.41,0,0,0,0,71,71,0.41,675406
p0300l00s002893.c,887589,17532,2301,180489,8765,0,0,0,0.42,0,0,0,0,69,69,0.42,702113
p0300l00s000357.c,903708,17416,1514,184019,8804,0,0,0,0.40,0,0,0,0,69,69,0.40,651123
p0300l00s003263.c,888295,17064,2349,181853,8782,0,0,0,0.41,0,0,0,0,71,71,0.41,716854
p0300l00s003092.c,884603,17241,2030,180565,8892,0,0,0,0.41,0,0,0,0,71,71,0.41,666830
p0300l00s001633.c,896524,17313,2483,182923,8726,0,0,0,0.42,0,0,0,0,68,68,0.42,699495
p0300l00s000813.c,900886,17418,2345,183246,8820,0,0,0,0.42,0,0,0,0,70,70,0.42,700008
p0300l00s002575.c,899449,17917,2448,183882,9019,0,0,0,0.45,0,0,0,0,72,72,0.45,680390
p0300l00s002186.c,888297,17229,2249,181979,8892,0,0,0,0.42,0,0,0,0,69,69,0.42,683742
