Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0377l00s000478.c,926804,16961,2173,189501,8937,0,0,0,0.42,0,0,0,0,69,69,0.42,678729
p0377l00s000550.c,898607,16817,2095,184307,8912,0,0,0,0.41,0,0,0,0,66,66,0.41,663387
p0377l00s001096.c,921405,17259,2319,187512,9035,0,0,0,0.42,0,0,0,0,67,67,0.42,701413
p0377l00s000833.c,914757,16670,2074,187207,8878,0,0,0,0.41,0,0,0,0,69,69,0.41,674913
p0377l00s000075.c,926487,17067,2115,189844,8876,0,0,0,0.42,0,0,0,0,68,68,0.42,677882
p0377l00s001070.c,944321,17267,2151,192275,8850,0,0,0,0.42,0,0,0,0,68,68,0.42,694003
p0377l00s001226.c,930655,17227,2225,189793,9021,0,0,0,0.42,0,0,0,0,68,68,0.42,719208
p0377l00s000988.c,904543,16767,2121,185969,8866,0,0,0,0.41,0,0,0,0,68,68,0.41,671414
p0377l00s000501.c,901869,17058,2171,185221,8800,0,0,0,0.46,0,0,0,0,69,69,0.46,761861
p0377l00s000381.c,934713,17519,2391,190270,9018,0,0,0,0.43,0,0,0,0,68,68,0.43,687511
p0377l00s000910.c,915976,16702,2099,187634,8942,0,0,0,0.41,0,0,0,0,68,68,0.41,667430
p0377l00s000483.c,897774,16869,2098,184353,8851,0,0,0,0.41,0,0,0,0,66,66,0.41,673401
p0377l00s000795.c,926011,16773,2099,190309,8834,0,0,0,0.40,0,0,0,0,68,68,0.40,643169
p0377l00s000694.c,919556,17470,2238,187649,8978,0,0,0,0.42,0,0,0,0,67,67,0.42,692081
p0377l00s001246.c,923414,16955,2126,189233,8916,0,0,0,0.41,0,0,0,0,68,68,0.41,675167
p0377l00s000655.c,927301,17073,2119,189978,8843,0,0,0,0.41,0,0,0,0,69,69,0.41,679383
p0377l00s000620.c,931926,17184,1829,191110,8893,0,0,0,0.42,0,0,0,0,70,70,0.42,677646
p0377l00s000579.c,917119,17376,2340,186551,8864,0,0,0,0.42,0,0,0,0,66,66,0.42,700761
p0377l00s000705.c,903613,16954,2078,185190,8768,0,0,0,0.41,0,0,0,0,67,67,0.41,679645
p0377l00s001106.c,922653,17192,1368,188762,8984,0,0,0,0.39,0,0,0,0,68,68,0.40,652213
p0377l00s000033.c,922090,17146,2032,188506,8904,0,0,0,0.46,0,0,0,0,68,68,0.46,728875
p0377l00s000047.c,923660,17194,2231,188208,8887,0,0,0,0.42,0,0,0,0,68,68,0.42,691299
p0377l00s001238.c,898374,16896,2093,184277,8967,0,0,0,0.41,0,0,0,0,66,66,0.41,685361
p0377l00s000552.c,926307,16796,2120,190525,8759,0,0,0,0.42,0,0,0,0,70,70,0.42,715569
p0377l00s000319.c,934580,17128,2232,190586,8841,0,0,0,0.42,0,0,0,0,69,69,0.42,657191
p0377l00s000748.c,907777,17023,2130,185791,8927,0,0,0,0.41,0,0,0,0,67,67,0.41,689210
p0377l00s000034.c,936399,17096,2146,192072,8926,0,0,0,0.42,0,0,0,0,68,68,0.42,728971
p0377l00s000126.c,925008,16896,2149,189716,8778,0,0,0,0.41,0,0,0,0,68,68,0.41,653116
p0377l00s000684.c,903252,16911,2097,185260,9004,0,0,0,0.41,0,0,0,0,67,67,0.41,672125
p0377l00s000386.c,916478,17338,2287,186719,8924,0,0,0,0.42,0,0,0,0,67,67,0.42,695155
p0377l00s000513.c,914256,17048,2052,187090,8895,0,0,0,0.41,0,0,0,0,66,66,0.41,667295
p0377l00s001103.c,908349,16955,2169,185827,8883,0,0,0,0.43,0,0,0,0,66,66,0.43,710914
p0377l00s000135.c,909005,16945,2094,186481,8923,0,0,0,0.41,0,0,0,0,68,68,0.41,700986
p0377l00s001090.c,911759,18295,2172,186702,9304,0,0,0,0.52,0,0,0,0,68,68,0.52,748176
p0377l00s000413.c,922063,17489,2083,188991,8854,0,0,0,0.42,0,0,0,0,69,69,0.42,676803
