Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0006l00s000734.c,856271,16987,1999,175568,8718,0,0,0,0.40,0,0,0,0,66,66,0.40,667735
p0006l00s000603.c,884611,16983,2125,180754,8699,0,0,0,0.41,0,0,0,0,69,69,0.41,681216
p0006l00s000754.c,860835,17140,2064,175815,8656,0,0,0,0.40,0,0,0,0,67,67,0.40,665060
p0006l00s000368.c,870132,16963,2136,178251,8606,0,0,0,0.41,0,0,0,0,68,68,0.41,670873
p0006l00s000456.c,866162,17025,2189,177362,8682,0,0,0,0.41,0,0,0,0,69,69,0.41,672152
p0006l00s000341.c,860843,16939,2165,176263,8721,0,0,0,0.41,0,0,0,0,67,67,0.41,661389
p0006l00s000564.c,856319,16897,2065,175018,8656,0,0,0,0.41,0,0,0,0,67,67,0.41,671838
p0006l00s000463.c,878014,16953,2062,179451,8792,0,0,0,0.41,0,0,0,0,68,68,0.41,672715
p0006l00s000041.c,856954,16872,1994,175692,8763,0,0,0,0.41,0,0,0,0,67,67,0.41,668687
p0006l00s000723.c,856856,17112,1515,175485,8674,0,0,0,0.39,0,0,0,0,67,67,0.39,657096
p0006l00s000601.c,888900,17278,2129,180838,8745,0,0,0,0.42,0,0,0,0,69,69,0.42,681282
p0006l00s000229.c,867613,17231,2238,177175,8872,0,0,0,0.41,0,0,0,0,67,67,0.41,688330
p0006l00s000528.c,854268,16871,2030,175011,8606,0,0,0,0.40,0,0,0,0,66,66,0.40,656014
p0006l00s000024.c,889263,17508,2215,181298,8731,0,0,0,0.42,0,0,0,0,68,68,0.42,682153
p0006l00s000120.c,865462,17001,2075,177287,8740,0,0,0,0.41,0,0,0,0,67,67,0.41,661033
p0006l00s000102.c,866882,16882,2099,177823,8729,0,0,0,0.41,0,0,0,0,69,69,0.41,668922
p0006l00s000568.c,866812,17970,2171,177706,9005,0,0,1,0.42,0,0,0,0,67,67,0.42,703507
p0006l00s000242.c,866055,17056,1632,177376,8747,0,0,0,0.40,0,0,0,0,67,67,0.40,628144
p0006l00s000274.c,869735,17199,2222,177432,8640,0,0,0,0.41,0,0,0,0,68,68,0.41,679178
p0006l00s000248.c,869214,17483,1717,177890,8734,0,0,0,0.41,0,0,0,0,68,68,0.41,638915
p0006l00s000010.c,857707,17075,2121,175735,8680,0,0,0,0.40,0,0,0,0,67,67,0.40,660006
p0006l00s000575.c,870996,16908,653,177283,8732,0,0,0,0.38,0,0,0,0,67,67,0.38,584395
p0006l00s000487.c,876519,16883,493,179019,8688,0,0,0,0.38,0,0,0,0,69,69,0.38,573276
p0006l00s000302.c,876951,16769,317,179723,8715,0,0,0,0.38,0,0,0,0,69,69,0.38,591596
p0006l00s000710.c,882518,16921,2327,180929,8764,0,0,0,0.41,0,0,0,0,70,70,0.41,677511
p0006l00s000482.c,854152,16974,2196,175028,8734,0,0,0,0.40,0,0,0,0,66,66,0.40,684537
p0006l00s000686.c,869864,17008,2053,177701,8718,0,0,0,0.41,0,0,0,0,69,69,0.41,677438
p0006l00s000495.c,858761,16834,2044,175418,8595,0,0,0,0.40,0,0,0,0,66,66,0.40,668578
p0006l00s000212.c,884208,17079,1597,181319,8779,0,0,0,0.39,0,0,0,0,69,69,0.39,609963
p0006l00s000254.c,886775,16947,2122,181247,8685,0,0,0,0.41,0,0,0,0,70,70,0.41,680096
p0006l00s000628.c,883200,17082,2248,180984,8654,0,0,0,0.42,0,0,0,0,69,69,0.42,694713
p0006l00s000770.c,857772,17191,1924,175046,8700,0,0,0,0.40,0,0,0,0,67,67,0.40,670233
p0006l00s000163.c,878713,16782,963,178945,8805,0,0,0,0.39,0,0,0,0,68,68,0.39,597478
p0006l00s000264.c,857949,16961,2123,175827,8680,0,0,0,0.40,0,0,0,0,66,66,0.40,662701
p0006l00s000313.c,871331,16981,2093,178447,8677,0,0,0,0.41,0,0,0,0,68,68,0.41,672173
p0006l00s000497.c,877596,17705,2174,178545,8718,0,0,0,0.41,0,0,0,0,67,67,0.42,731627
p0006l00s000648.c,854093,17004,2152,175011,8577,0,0,0,0.40,0,0,0,0,66,66,0.41,685692
p0006l00s000437.c,865966,17293,2121,176753,8730,0,0,0,0.41,0,0,0,0,68,68,0.41,668771
p0006l00s000336.c,859676,17112,2136,176141,8773,0,0,0,0.40,0,0,0,0,67,67,0.40,671065
p0006l00s000772.c,857330,17225,2160,175575,8743,0,0,0,0.40,0,0,0,0,66,66,0.41,677507
p0006l00s000090.c,869600,16898,2048,178301,8695,0,0,0,0.41,0,0,0,0,69,69,0.41,672177
p0006l00s000477.c,860157,16882,2264,176065,8784,0,0,0,0.41,0,0,0,0,68,68,0.41,682073
p0006l00s000527.c,865207,17166,2010,176840,8773,0,0,0,0.41,0,0,0,0,67,67,0.41,681761
p0006l00s000225.c,863630,17086,2103,176880,8722,0,0,0,0.41,0,0,0,0,67,67,0.41,659073
p0006l00s000483.c,885258,17205,1424,180879,8850,0,0,0,0.38,0,0,0,0,70,70,0.38,606569
p0006l00s000021.c,871120,17112,1990,178022,8687,0,0,0,0.43,0,0,0,0,67,67,0.43,741298
p0006l00s000081.c,860098,17114,2107,176225,8802,0,0,0,0.41,0,0,0,0,67,67,0.41,685611
p0006l00s000726.c,874176,16809,2132,179200,8677,0,0,0,0.41,0,0,0,0,68,68,0.41,673932
p0006l00s000667.c,860020,16952,2069,176238,8690,0,0,0,0.40,0,0,0,0,67,67,0.40,658658
p0006l00s000125.c,858146,17276,2297,175842,8663,0,0,0,0.41,0,0,0,0,67,67,0.41,670453
p0006l00s000595.c,878519,17504,2376,179968,8728,0,0,0,0.41,0,0,0,0,69,69,0.41,670213
p0006l00s000494.c,864204,16817,2077,177336,8676,0,0,0,0.41,0,0,0,0,69,69,0.41,671250
p0006l00s000530.c,880623,17120,1508,179950,8767,0,0,0,0.38,0,0,0,0,69,69,0.38,599571
p0006l00s000614.c,860705,17077,2336,176479,8623,0,0,0,0.41,0,0,0,0,67,67,0.41,674288
p0006l00s000634.c,880606,17029,2080,180654,8766,0,0,0,0.41,0,0,0,0,68,68,0.41,688229
p0006l00s000506.c,862389,17049,2218,176254,8755,0,0,0,0.41,0,0,0,0,66,66,0.41,666883
p0006l00s000623.c,870512,17189,1940,177703,8793,0,0,0,0.41,0,0,0,0,68,68,0.41,668931
p0006l00s000011.c,872473,17114,2036,178659,8636,0,0,0,0.41,0,0,0,0,69,69,0.41,677442
p0006l00s000253.c,863174,16935,2071,176950,8787,0,0,0,0.40,0,0,0,0,67,67,0.40,656690
p0006l00s000342.c,859039,16783,2051,175964,8760,0,0,0,0.41,0,0,0,0,67,67,0.41,658410
p0006l00s000746.c,859107,16997,1849,175508,8782,0,0,0,0.40,0,0,0,0,67,67,0.40,670716
p0006l00s000365.c,858402,16761,2124,175875,8677,0,0,0,0.41,0,0,0,0,67,67,0.41,671582
p0006l00s000258.c,858482,17044,2065,175827,8636,0,0,0,0.41,0,0,0,0,67,67,0.41,666264
p0006l00s000399.c,879499,17081,2200,179660,8669,0,0,0,0.41,0,0,0,0,68,68,0.41,683793
p0006l00s000380.c,863650,17057,2147,177150,8738,0,0,0,0.42,0,0,0,0,68,68,0.42,724992
p0006l00s000178.c,873330,17240,2002,178989,8609,0,0,0,0.41,0,0,0,0,68,68,0.41,680429
p0006l00s000190.c,863064,17136,1488,176858,8728,0,0,0,0.40,0,0,0,0,68,68,0.40,622369
p0006l00s000369.c,875837,16968,2037,178895,8684,0,0,0,0.41,0,0,0,0,68,68,0.41,669435
p0006l00s000626.c,894135,17148,1168,182013,8629,0,0,0,0.40,0,0,0,0,69,69,0.40,618357
p0006l00s000312.c,876049,17327,2224,179445,8759,0,0,0,0.42,0,0,0,0,69,69,0.42,684841
p0006l00s000082.c,883096,17197,2258,180382,8797,0,0,0,0.41,0,0,0,0,69,69,0.41,683490
p0006l00s000658.c,886259,17301,2164,180406,8650,0,0,0,0.41,0,0,0,0,68,68,0.41,689807
p0006l00s000370.c,861155,16886,2090,176449,8658,0,0,0,0.40,0,0,0,0,68,68,0.40,684905
p0006l00s000745.c,864558,16977,2153,176646,8792,0,0,0,0.41,0,0,0,0,67,67,0.41,679476
p0006l00s000373.c,882665,16691,2154,180415,8712,0,0,0,0.41,0,0,0,0,68,68,0.41,666263
p0006l00s000736.c,885220,16998,2190,180884,8766,0,0,0,0.41,0,0,0,0,69,69,0.41,672835
p0006l00s000574.c,859705,17121,1379,176178,8593,0,0,0,0.39,0,0,0,0,67,67,0.39,639100
p0006l00s000149.c,859700,17029,2083,176254,8647,0,0,0,0.40,0,0,0,0,67,67,0.40,660889
p0006l00s000209.c,881875,16960,1489,180732,8711,0,0,0,0.39,0,0,0,0,69,69,0.39,604587
p0006l00s000515.c,862858,17138,2116,176887,8725,0,0,0,0.40,0,0,0,0,67,67,0.40,676001
p0006l00s000093.c,879714,17052,2119,180332,8760,0,0,0,0.41,0,0,0,0,68,68,0.41,678112
p0006l00s000097.c,881264,17303,2361,180586,8671,0,0,0,0.42,0,0,0,0,70,70,0.42,678054
p0006l00s000129.c,882065,17059,2145,180266,8762,0,0,0,0.41,0,0,0,0,68,68,0.41,667685
p0006l00s000208.c,871096,16879,2115,178502,8597,0,0,0,0.40,0,0,0,0,69,69,0.41,678426
p0006l00s000400.c,862308,16775,2137,176671,8618,0,0,0,0.41,0,0,0,0,67,67,0.41,669903
p0006l00s000282.c,864742,17107,2415,177198,8741,0,0,0,0.41,0,0,0,0,69,69,0.41,672632
p0006l00s000534.c,869619,16934,2493,178339,8736,0,0,0,0.40,0,0,0,0,68,68,0.40,632442
p0006l00s000126.c,862464,16837,1416,176353,8721,0,0,0,0.39,0,0,0,0,67,67,0.39,648211
p0006l00s000257.c,880542,17128,2023,180118,8730,0,0,0,0.41,0,0,0,0,68,68,0.41,666038
p0006l00s000384.c,858205,17081,2124,175728,8725,0,0,0,0.41,0,0,0,0,67,67,0.41,670048
p0006l00s000758.c,893969,17126,1236,182129,8781,0,0,0,0.40,0,0,0,0,68,68,0.40,614959
p0006l00s000250.c,880314,17013,2065,179929,8744,0,0,0,0.41,0,0,0,0,68,68,0.41,668615
p0006l00s000037.c,877519,16811,2093,179770,8710,0,0,0,0.41,0,0,0,0,69,69,0.41,665694
p0006l00s000474.c,862724,17057,2138,176311,8772,0,0,0,0.41,0,0,0,0,67,67,0.41,670957
p0006l00s000653.c,879913,17012,2097,180343,8758,0,0,0,0.41,0,0,0,0,69,69,0.41,671060
p0006l00s000389.c,877783,17040,2136,179999,8702,0,0,0,0.41,0,0,0,0,68,68,0.41,675555
p0006l00s000135.c,871015,17135,2147,178510,8733,0,0,0,0.41,0,0,0,0,69,69,0.41,669946
p0006l00s000690.c,861664,17016,2137,175977,8687,0,0,0,0.40,0,0,0,0,67,67,0.40,667097
p0006l00s000468.c,882826,17181,2090,180989,8742,0,0,0,0.41,0,0,0,0,70,70,0.41,679992
p0006l00s000470.c,861179,16956,1045,176495,8754,0,0,0,0.39,0,0,0,0,68,68,0.39,619490
p0006l00s000261.c,863194,16970,2216,176873,8643,0,0,0,0.40,0,0,0,0,67,67,0.41,668068
p0006l00s000752.c,899370,17621,2661,183023,8804,0,0,0,0.45,0,0,0,0,69,69,0.45,693668
p0006l00s000210.c,864386,17045,2188,176601,8711,0,0,0,0.41,0,0,0,0,68,68,0.41,687315
