Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0302l00s001219.c,930257,17989,2412,189436,8946,0,0,0,0.43,0,0,0,0,72,72,0.43,702071
p0302l00s001594.c,23849451,266477,124904,4238910,14934,0,0,0,8.38,0,0,0,0,3485,3485,8.38,8640658
p0302l00s001138.c,24911851,278954,141050,4425249,15203,0,0,0,8.99,0,0,0,0,3644,3644,8.99,9302774
p0302l00s000919.c,46102333,232752,101642,9939351,14172,0,0,0,10.13,0,0,0,0,2997,2997,10.13,10392283
p0302l00s002372.c,24935855,278386,138940,4428083,15255,0,0,0,8.90,0,0,0,0,3645,3645,8.90,9162608
p0302l00s002211.c,881694,17545,2157,180483,8855,0,0,0,0.42,0,0,0,0,68,68,0.42,674707
p0302l00s000489.c,23858593,266789,125521,4239758,14965,0,0,0,8.40,0,0,0,0,3485,3485,8.40,8667142
p0302l00s001685.c,93254128,1000231,840531,16469603,32501,0,0,0,37.41,0,0,0,0,13737,13737,37.41,37720303
p0302l00s000453.c,23827508,267549,214613,4233802,15035,0,0,0,9.73,0,0,0,0,3484,3484,9.73,9995976
p0302l00s000918.c,882741,17315,1640,179662,8752,0,0,0,0.40,0,0,0,0,66,66,0.40,657326
p0302l00s000048.c,1260888,25670,9828,246628,9266,0,0,0,0.67,0,0,0,0,184,184,0.67,939169
p0302l00s000582.c,23833226,267810,130300,4236391,15225,0,0,1,8.49,0,0,0,0,3485,3485,8.50,8767382
p0302l00s000264.c,869814,16796,2158,178086,8717,0,0,0,0.41,0,0,0,0,66,66,0.41,685840
p0302l00s000369.c,872302,17199,2164,178639,8786,0,0,0,0.40,0,0,0,0,67,67,0.40,671003
p0302l00s002117.c,38870292,274399,131339,7239958,15152,0,0,0,10.65,0,0,0,0,3483,3483,10.65,10923136
p0302l00s000768.c,870756,17485,2382,178055,8817,0,0,0,0.45,0,0,0,0,66,66,0.45,692979
p0302l00s000923.c,23864348,267147,195994,4238018,14993,0,0,0,9.43,0,0,0,0,3484,3484,9.43,9693572
p0302l00s002216.c,180818762,608938,459452,38699002,23188,0,0,0,51.59,0,0,0,0,8259,8259,51.59,51877360
p0302l00s002010.c,23836214,266950,218711,4234706,15036,0,0,0,9.64,0,0,0,0,3483,3483,9.64,9867141
p0302l00s001523.c,24905282,279325,140853,4427037,15634,0,0,1,8.96,0,0,0,0,3644,3644,8.96,9234713
p0302l00s001423.c,891085,17096,2289,182644,8807,0,0,0,0.40,0,0,0,0,69,69,0.40,632810
p0302l00s001820.c,4469448,60953,31839,724616,10420,0,0,1,1.77,0,0,0,0,651,651,1.77,2053444
