Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0376l00s000709.c,876444,16686,463,179559,8731,0,0,0,0.79,0,0,0,0,68,68,0.79,1188501
p0376l00s001261.c,885327,16930,569,181471,8871,0,0,0,0.41,0,0,0,0,68,68,0.41,645316
p0376l00s000095.c,868292,16571,546,177369,8839,0,0,0,0.52,0,0,0,0,67,67,0.52,787300
p0376l00s000172.c,900647,16972,924,182639,8740,0,0,0,0.61,0,0,0,0,69,69,0.61,958685
p0376l00s000908.c,864541,16730,893,176967,8777,0,0,0,0.74,0,0,0,0,67,67,0.74,1130482
p0376l00s000390.c,879866,17320,590,178448,8817,0,0,0,0.36,0,0,0,0,66,66,0.36,573510
p0376l00s000971.c,900339,17171,466,183161,8852,0,0,0,0.55,0,0,0,0,69,69,0.55,836603
p0376l00s000193.c,866960,16977,1055,177621,8881,0,0,0,0.60,0,0,0,0,67,67,0.60,955086
p0376l00s000727.c,879313,16884,885,179535,8756,0,0,0,0.75,0,0,0,0,68,68,0.75,1139336
p0376l00s001223.c,880509,16688,1089,180301,8734,0,0,0,0.75,0,0,0,0,69,69,0.75,1162433
p0376l00s000874.c,883450,17150,895,179334,8728,0,0,0,1.00,0,0,0,0,68,68,1.00,1497234
p0376l00s000527.c,877331,16398,918,179703,8977,0,0,0,0.99,0,0,0,0,69,69,0.99,4296789
p0376l00s000716.c,864839,16807,2168,177187,8776,0,0,0,0.82,0,0,0,0,67,67,0.82,1343652
p0376l00s000292.c,878695,16753,1295,179999,8763,0,0,0,0.65,0,0,0,0,69,69,0.65,1030421
p0376l00s000413.c,879668,16755,989,180275,8762,0,0,0,0.58,0,0,0,0,68,68,0.58,911063
p0376l00s001264.c,861620,16684,1015,176698,8829,0,0,0,0.63,0,0,0,0,67,67,0.63,868795
p0376l00s001086.c,865341,16779,431,177336,8661,0,0,0,0.34,0,0,0,0,68,68,0.34,553738
p0376l00s000964.c,867548,16342,488,177750,8686,0,0,0,0.78,0,0,0,0,68,68,0.78,1172171
p0376l00s000188.c,877565,17639,826,179599,9030,0,0,0,0.63,0,0,0,0,67,67,0.63,936513
p0376l00s000828.c,867937,17008,982,177880,8799,0,0,0,0.51,0,0,0,0,68,68,0.51,747902
p0376l00s000655.c,861318,16707,691,176450,8856,0,0,0,0.70,0,0,0,0,67,67,0.70,1055780
p0376l00s000266.c,905163,17027,978,183741,8771,0,0,0,0.72,0,0,0,0,69,69,0.72,1134648
p0376l00s000389.c,867414,16606,567,177788,8807,0,0,0,0.70,0,0,0,0,68,68,0.70,1075178
p0376l00s000511.c,864226,16883,591,176984,8794,0,0,0,0.67,0,0,0,0,67,67,0.68,970214
p0376l00s000364.c,877088,16953,534,179716,8807,0,0,0,0.64,0,0,0,0,68,68,0.64,923208
p0376l00s000844.c,868330,16665,597,177247,8728,0,0,0,0.48,0,0,0,0,67,67,0.48,685316
p0376l00s000087.c,878870,17035,897,179156,8880,0,0,0,0.65,0,0,0,0,68,68,0.65,913123
p0376l00s000607.c,859827,16663,765,176169,8751,0,0,0,0.69,0,0,0,0,66,66,0.69,1062696
p0376l00s000347.c,876761,16795,1048,179637,8718,0,0,0,0.75,0,0,0,0,68,68,0.75,1134903
p0376l00s000710.c,866429,17742,841,177394,8970,0,0,0,0.40,0,0,0,0,67,67,0.40,670668
p0376l00s000806.c,870603,16645,994,178043,8828,0,0,0,0.70,0,0,0,0,68,68,0.71,1101368
p0376l00s001009.c,861416,16624,1070,176466,8788,0,0,0,0.84,0,0,0,0,67,67,0.85,1246530
p0376l00s001073.c,880054,17096,608,179175,8894,0,0,0,0.52,0,0,0,0,67,67,0.52,772906
p0376l00s000065.c,871664,16915,586,177959,8775,0,0,0,0.40,0,0,0,0,68,68,0.40,616825
p0376l00s001242.c,861474,16405,730,176028,8775,0,0,0,0.69,0,0,0,0,67,67,0.69,1020812
p0376l00s001034.c,869582,16721,425,178277,8821,0,0,0,0.38,0,0,0,0,68,68,0.38,608634
