Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0367l00s001869.c,861664,16871,2000,176652,8810,0,0,0,0.41,0,0,0,0,68,68,0.41,681588
p0367l00s000993.c,874346,16908,2299,179139,8654,0,0,0,0.41,0,0,0,0,69,69,0.41,4342304
p0367l00s000217.c,858229,16857,2119,175900,8717,0,0,0,0.41,0,0,0,0,67,67,0.41,668713
p0367l00s000900.c,873687,17093,1933,178385,8779,0,0,0,0.40,0,0,0,0,70,70,0.41,668782
p0367l00s001043.c,856653,16955,2111,175578,8664,0,0,0,0.40,0,0,0,0,66,66,0.40,662294
p0367l00s002139.c,893184,17204,2278,182171,8805,0,0,0,0.42,0,0,0,0,69,69,0.42,684061
p0367l00s001048.c,879175,16961,2252,180264,8829,0,0,0,0.41,0,0,0,0,69,69,0.41,679630
p0367l00s001498.c,868545,17266,2096,177042,8886,0,0,0,0.41,0,0,0,0,68,68,0.41,692393
p0367l00s000113.c,860855,17262,2101,176456,8753,0,0,0,0.41,0,0,0,0,67,67,0.41,681199
p0367l00s000146.c,886052,17150,2116,181211,8791,0,0,0,0.41,0,0,0,0,69,69,0.42,675277
p0367l00s001105.c,859422,16835,2019,176077,8731,0,0,0,0.40,0,0,0,0,67,67,0.40,681383
p0367l00s002022.c,879647,16929,2091,179852,8743,0,0,0,0.41,0,0,0,0,68,68,0.41,663501
p0367l00s000090.c,859138,16815,2057,176171,8649,0,0,0,0.40,0,0,0,0,67,67,0.40,668293
p0367l00s000973.c,867420,16937,2158,177559,8699,0,0,0,0.40,0,0,0,0,68,68,0.40,668890
p0367l00s001419.c,857510,17029,2089,175700,8698,0,0,0,0.41,0,0,0,0,67,67,0.41,670298
p0367l00s001374.c,863036,17057,2161,176292,8795,0,0,0,0.41,0,0,0,0,67,67,0.41,670283
p0367l00s000363.c,874045,16933,2136,179174,8697,0,0,0,0.41,0,0,0,0,68,68,0.41,676844
