Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0502l00s000237.c,873090,16725,2150,178249,8681,0,0,0,0.41,0,0,0,0,68,68,0.41,671031
p0502l00s000308.c,859330,16724,2076,176196,8628,0,0,0,0.40,0,0,0,0,66,66,0.40,653877
p0502l00s000077.c,861891,17020,2060,176629,8633,0,0,0,0.40,0,0,0,0,68,68,0.41,678602
p0502l00s000486.c,876411,17485,2274,178276,8659,0,0,0,0.42,0,0,0,0,67,67,0.42,682179
p0502l00s000316.c,868967,16885,2054,177683,8648,0,0,0,0.40,0,0,0,0,68,68,0.40,664436
p0502l00s000563.c,868785,16917,2139,177423,8650,0,0,0,0.40,0,0,0,0,68,68,0.40,665622
p0502l00s000035.c,877866,17079,2083,178232,8728,0,0,0,0.41,0,0,0,0,67,67,0.41,651106
p0502l00s000469.c,867833,17008,2135,177725,8656,0,0,0,0.40,0,0,0,0,68,68,0.40,663563
p0502l00s000406.c,883729,17173,2213,179212,8814,0,0,0,0.42,0,0,0,0,68,68,0.42,693558
p0502l00s000383.c,855718,16845,2179,175337,8705,0,0,0,0.41,0,0,0,0,66,66,0.41,689385
p0502l00s000030.c,871005,17912,2341,178349,8826,0,0,0,0.43,0,0,0,0,67,67,0.43,656870
p0502l00s000056.c,859223,17057,2180,175901,8752,0,0,0,0.41,0,0,0,0,67,67,0.41,670789
p0502l00s000376.c,871158,16924,2080,177970,8731,0,0,0,0.40,0,0,0,0,68,68,0.40,691093
p0502l00s000206.c,851733,16909,2120,174358,8656,0,0,0,0.40,0,0,0,0,67,67,0.40,666272
p0502l00s000265.c,858742,16815,2245,175296,8727,0,0,0,0.41,0,0,0,0,68,68,0.41,669103
p0502l00s000442.c,868489,16635,1050,178073,8679,0,0,0,0.38,0,0,0,0,69,69,0.39,622779
p0502l00s000411.c,850508,16852,2113,173727,8653,0,0,0,0.40,0,0,0,0,66,66,0.40,657359
p0502l00s000673.c,875077,17138,1568,177157,8769,0,0,0,0.39,0,0,0,0,66,66,0.39,601940
p0502l00s000578.c,862650,16948,2083,176720,8615,0,0,0,0.40,0,0,0,0,67,67,0.40,671755
p0502l00s000414.c,859080,16675,2127,175904,8619,0,0,0,0.40,0,0,0,0,67,67,0.40,686942
p0502l00s000561.c,864611,16800,2129,177282,8643,0,0,0,0.41,0,0,0,0,67,67,0.41,670507
p0502l00s000671.c,867607,17031,1241,177211,8695,0,0,0,0.39,0,0,0,0,68,68,0.39,651257
p0502l00s000400.c,855268,16853,2001,175199,8627,0,0,0,0.40,0,0,0,0,66,66,0.40,706552
p0502l00s000060.c,869026,16722,2111,177742,8679,0,0,0,0.39,0,0,0,0,67,67,0.39,645073
p0502l00s000010.c,875042,16991,2180,178270,8762,0,0,0,0.41,0,0,0,0,68,68,0.41,687066
p0502l00s000549.c,870611,17024,2182,177827,8723,0,0,0,0.41,0,0,0,0,68,68,0.41,677492
p0502l00s000594.c,861831,16991,2036,176660,8753,0,0,0,0.40,0,0,0,0,66,66,0.40,681220
p0502l00s000247.c,865176,16870,2057,177290,8662,0,0,0,0.41,0,0,0,0,68,68,0.41,688328
p0502l00s000083.c,865880,16787,2014,177488,8735,0,0,0,0.41,0,0,0,0,67,67,0.41,663881
p0502l00s000271.c,866374,16875,2095,177401,8749,0,0,0,0.41,0,0,0,0,68,68,0.41,670448
p0502l00s000536.c,864867,16895,1882,177166,8773,0,0,0,0.40,0,0,0,0,67,67,0.41,670369
p0502l00s000492.c,863034,16648,2262,176856,8640,0,0,0,0.41,0,0,0,0,68,68,0.41,673480
p0502l00s000572.c,856556,16630,2118,175541,8677,0,0,0,0.40,0,0,0,0,66,66,0.40,659422
p0502l00s000144.c,872395,16776,2071,178761,8746,0,0,0,0.41,0,0,0,0,68,68,0.41,676710
p0502l00s000485.c,860361,16578,2118,175752,8615,0,0,0,0.40,0,0,0,0,66,66,0.40,664648
p0502l00s000208.c,872627,17021,2057,178917,8778,0,0,0,0.41,0,0,0,0,68,68,0.41,668016
p0502l00s000120.c,870000,16778,2096,177682,8717,0,0,0,0.41,0,0,0,0,68,68,0.41,669504
p0502l00s000261.c,863575,17034,2280,176913,8601,0,0,0,0.41,0,0,0,0,67,67,0.41,676614
p0502l00s000481.c,865789,16639,2134,177348,8701,0,0,0,0.41,0,0,0,0,67,67,0.41,683525
p0502l00s000390.c,848538,16837,2139,173792,8693,0,0,0,0.41,0,0,0,0,66,66,0.41,670904
