Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0466l00s000255.c,855908,16790,2056,175374,8673,0,0,0,0.40,0,0,0,0,66,66,0.40,674709
p0466l00s000010.c,858516,16758,2154,175820,8635,0,0,0,0.41,0,0,0,0,67,67,0.41,696457
p0466l00s000298.c,870363,16887,2059,177391,8691,0,0,0,0.40,0,0,0,0,67,67,0.41,696189
p0466l00s000169.c,878134,17376,2158,178530,8597,0,0,0,0.41,0,0,0,0,67,67,0.41,686996
p0466l00s000317.c,866638,16745,2120,177506,8616,0,0,0,0.41,0,0,0,0,68,68,0.41,664252
p0466l00s000762.c,862361,16952,2182,176576,8578,0,0,0,0.40,0,0,0,0,68,68,0.40,678813
p0466l00s000243.c,844915,16890,2072,172686,8671,0,0,0,0.40,0,0,0,0,66,66,0.40,666767
p0466l00s000230.c,867033,16888,2090,177078,8645,0,0,0,0.41,0,0,0,0,68,68,0.41,678690
p0466l00s000013.c,849962,16605,2061,174066,8544,0,0,0,0.40,0,0,0,0,66,66,0.40,669113
p0466l00s000271.c,857995,16860,2076,175643,8583,0,0,0,0.40,0,0,0,0,67,67,0.40,672904
p0466l00s000039.c,876789,17154,1674,177800,8708,0,0,0,0.40,0,0,0,0,67,67,0.41,663173
p0466l00s000091.c,859414,17077,2453,175898,8631,0,0,0,0.41,0,0,0,0,67,67,0.41,670665
p0466l00s000088.c,865119,16980,2117,177205,8681,0,0,0,0.41,0,0,0,0,68,68,0.41,678751
p0466l00s000309.c,859549,16946,2076,176059,8669,0,0,0,0.40,0,0,0,0,67,67,0.40,634029
p0466l00s000220.c,861775,16736,2103,176528,8679,0,0,0,0.41,0,0,0,0,67,67,0.41,701054
p0466l00s000062.c,860708,16841,1641,176552,8704,0,0,0,0.41,0,0,0,0,67,67,0.41,661351
p0466l00s000308.c,860018,16818,1707,176123,8616,0,0,0,0.40,0,0,0,0,67,67,0.40,653657
p0466l00s000106.c,869847,16973,1696,178228,8671,0,0,0,0.40,0,0,0,0,68,68,0.40,659033
p0466l00s000444.c,881147,17223,2477,179167,8621,0,0,0,0.42,0,0,0,0,68,68,0.42,691921
p0466l00s000372.c,864034,16731,2099,176400,8656,0,0,0,0.40,0,0,0,0,67,67,0.41,662518
p0466l00s000467.c,878586,17000,2313,178982,8687,0,0,0,0.42,0,0,0,0,68,68,0.42,697262
p0466l00s000387.c,875590,16629,2183,179242,8562,0,0,0,0.39,0,0,0,0,69,69,0.39,620102
p0466l00s000573.c,868670,16756,2046,177487,8634,0,0,0,0.41,0,0,0,0,68,68,0.41,673662
p0466l00s000533.c,864151,16805,2169,176116,8676,0,0,0,0.41,0,0,0,0,68,68,0.41,730408
p0466l00s000659.c,853902,16600,1439,174973,8609,0,0,0,0.39,0,0,0,0,66,66,0.39,638557
p0466l00s000746.c,871905,17751,1636,178032,8839,0,0,0,0.43,0,0,0,0,67,67,0.43,665201
p0466l00s000266.c,854723,16804,2097,175147,8718,0,0,0,0.40,0,0,0,0,67,67,0.40,656709
p0466l00s000718.c,866755,17146,2107,177345,8648,0,0,0,0.41,0,0,0,0,67,67,0.41,676948
p0466l00s000212.c,863063,16713,2036,176304,8618,0,0,0,0.40,0,0,0,0,67,67,0.41,663264
p0466l00s000262.c,876344,17069,2041,178362,8655,0,0,0,0.41,0,0,0,0,67,67,0.41,667673
p0466l00s000119.c,858925,16739,2086,175372,8775,0,0,0,0.40,0,0,0,0,67,67,0.40,672422
p0466l00s000011.c,867030,16955,1946,177030,8810,0,0,0,0.40,0,0,0,0,68,68,0.41,677469
p0466l00s000804.c,859771,16728,1149,176093,8582,0,0,0,0.38,0,0,0,0,68,68,0.38,628267
p0466l00s000476.c,872798,16767,1307,177857,8731,0,0,0,0.39,0,0,0,0,67,67,0.39,598756
p0466l00s000197.c,869149,16921,2109,178127,8607,0,0,0,0.41,0,0,0,0,68,68,0.41,666227
p0466l00s000076.c,840202,16605,2085,172244,8627,0,0,0,0.40,0,0,0,0,67,67,0.40,667080
p0466l00s000822.c,866261,16771,1477,177483,8681,0,0,0,0.40,0,0,0,0,67,67,0.40,658672
p0466l00s000738.c,885756,17006,2187,179619,8778,0,0,0,0.45,0,0,0,0,68,68,0.45,780221
p0466l00s000755.c,857996,16996,2115,175775,8580,0,0,0,0.41,0,0,0,0,66,66,0.41,678255
p0466l00s000430.c,859267,16743,2098,176086,8583,0,0,0,0.40,0,0,0,0,66,66,0.40,662745
p0466l00s000860.c,873843,16904,2097,178972,8591,0,0,0,0.41,0,0,0,0,69,69,0.41,663700
p0466l00s000433.c,858405,16687,2091,175166,8647,0,0,0,0.46,0,0,0,0,67,67,0.46,755283
p0466l00s000233.c,865704,16559,2044,177280,8618,0,0,0,0.41,0,0,0,0,68,68,0.41,669506
p0466l00s000603.c,879619,16986,2085,180208,8657,0,0,0,0.41,0,0,0,0,68,68,0.41,681842
p0466l00s000130.c,863850,16822,2082,176401,8644,0,0,0,0.41,0,0,0,0,67,67,0.41,678233
p0466l00s000692.c,850125,16670,2075,174203,8657,0,0,0,0.40,0,0,0,0,66,66,0.40,665852
p0466l00s000216.c,863429,16678,2100,176388,8631,0,0,0,0.40,0,0,0,0,68,68,0.41,667142
p0466l00s000276.c,866710,16954,2094,177574,8765,0,0,0,0.41,0,0,0,0,67,67,0.41,669239
p0466l00s000766.c,873204,17078,1515,177816,8617,0,0,0,0.38,0,0,0,0,66,66,0.39,615535
p0466l00s000096.c,847206,16815,2073,173541,8720,0,0,0,0.40,0,0,0,0,67,67,0.40,722591
p0466l00s000663.c,869736,17237,2360,177478,8627,0,0,0,0.42,0,0,0,0,67,67,0.42,683971
p0466l00s000693.c,881347,17921,2584,179200,8966,0,0,0,0.45,0,0,0,0,68,68,0.45,690422
p0466l00s000152.c,854934,16778,1345,175157,8752,0,0,0,0.38,0,0,0,0,66,66,0.38,636106
p0466l00s000056.c,843474,16583,2117,171828,8775,0,0,0,0.44,0,0,0,0,66,66,0.44,742804
p0466l00s000495.c,859506,17004,2150,175979,8702,0,0,0,0.41,0,0,0,0,67,67,0.41,708742
p0466l00s000228.c,882404,17066,2194,179451,8696,0,0,0,0.46,0,0,0,0,68,68,0.46,797496
p0466l00s000437.c,873389,16869,1776,178443,8722,0,0,0,0.40,0,0,0,0,67,67,0.40,666170
