Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0463l00s000147.c,853723,16780,2012,174910,8662,0,0,0,0.40,0,0,0,0,68,68,0.40,669917
p0463l00s000495.c,868738,16940,1888,177623,8615,0,0,0,0.40,0,0,0,0,68,68,0.40,666304
p0463l00s000484.c,848329,16812,2181,173293,8739,0,0,0,0.41,0,0,0,0,67,67,0.41,682563
p0463l00s000592.c,855362,16984,2062,175354,8677,0,0,0,0.40,0,0,0,0,66,66,0.40,672329
p0463l00s000845.c,861620,16968,2066,176607,8665,0,0,0,0.40,0,0,0,0,67,67,0.40,685092
p0463l00s000411.c,860593,16864,2101,176242,8664,0,0,0,0.41,0,0,0,0,67,67,0.41,677809
p0463l00s000771.c,861015,16903,2087,176459,8692,0,0,0,0.40,0,0,0,0,67,67,0.40,679779
p0463l00s000145.c,866880,16813,2080,177839,8689,0,0,0,0.41,0,0,0,0,67,67,0.41,669453
p0463l00s000432.c,870974,16832,2089,178521,8632,0,0,0,0.41,0,0,0,0,68,68,0.41,669610
p0463l00s000070.c,863253,16692,2008,176419,8661,0,0,0,0.40,0,0,0,0,67,67,0.40,703494
p0463l00s000402.c,868740,16747,2036,177610,8737,0,0,0,0.40,0,0,0,0,68,68,0.40,673180
p0463l00s000547.c,850639,16873,2046,174237,8654,0,0,0,0.41,0,0,0,0,67,67,0.41,669837
p0463l00s000376.c,871483,16932,2078,178693,8731,0,0,0,0.41,0,0,0,0,69,69,0.41,660077
p0463l00s000574.c,862304,16885,2116,176091,8696,0,0,0,0.40,0,0,0,0,67,67,0.40,666625
p0463l00s000220.c,862153,16955,2191,176140,8627,0,0,0,0.40,0,0,0,0,68,68,0.41,660885
p0463l00s000733.c,866331,16817,2094,177606,8728,0,0,0,0.40,0,0,0,0,67,67,0.40,685822
p0463l00s000629.c,870656,16503,2108,178307,8580,0,0,0,0.41,0,0,0,0,69,69,0.41,667921
p0463l00s000306.c,863617,17002,2063,176435,8725,0,0,0,0.42,0,0,0,0,67,67,0.42,715678
p0463l00s000516.c,867810,16658,2114,177865,8646,0,0,0,0.40,0,0,0,0,68,68,0.41,669084
p0463l00s000858.c,859968,16983,2113,176211,8684,0,0,0,0.41,0,0,0,0,67,67,0.41,668720
p0463l00s000897.c,870239,16945,2374,178402,8668,0,0,0,0.41,0,0,0,0,68,68,0.41,682269
p0463l00s000851.c,853579,16950,2343,174841,8647,0,0,0,0.41,0,0,0,0,66,66,0.41,671427
p0463l00s000905.c,851789,16600,2162,174475,8551,0,0,0,0.44,0,0,0,0,66,66,0.44,704942
p0463l00s000430.c,865549,16966,2153,177436,8656,0,0,0,0.41,0,0,0,0,67,67,0.41,678860
p0463l00s000420.c,862317,16930,2335,176313,8614,0,0,0,0.41,0,0,0,0,66,66,0.41,670737
p0463l00s000706.c,869174,17016,2071,176890,8628,0,0,0,0.41,0,0,0,0,66,66,0.41,681735
p0463l00s000030.c,857744,16670,2146,175678,8614,0,0,0,0.40,0,0,0,0,67,67,0.40,662077
p0463l00s000042.c,864144,16849,2084,176074,8737,0,0,0,0.40,0,0,0,0,66,66,0.40,657554
p0463l00s000291.c,862207,16837,1980,176690,8670,0,0,0,0.40,0,0,0,0,68,68,0.40,664978
p0463l00s000356.c,857466,16953,2072,175689,8655,0,0,0,0.40,0,0,0,0,67,67,0.41,666434
p0463l00s000129.c,869831,16888,1461,178297,8588,0,0,0,0.38,0,0,0,0,68,68,0.38,611428
p0463l00s000884.c,857623,17352,412,175671,8988,0,0,0,0.39,0,0,0,0,66,66,0.39,564795
p0463l00s000483.c,861375,16971,2101,176513,8656,0,0,0,0.45,0,0,0,0,68,68,0.45,760808
p0463l00s000300.c,863422,16578,1457,176990,8577,0,0,0,0.38,0,0,0,0,67,67,0.38,604720
p0463l00s000146.c,857941,16803,2066,175329,8725,0,0,0,0.40,0,0,0,0,67,67,0.40,669699
p0463l00s000627.c,878061,17170,2306,178481,8719,0,0,0,0.41,0,0,0,0,68,68,0.42,690635
p0463l00s000619.c,857186,16956,2496,175507,8669,0,0,0,0.41,0,0,0,0,67,67,0.41,672629
p0463l00s000200.c,866173,16961,2113,177468,8738,0,0,0,0.41,0,0,0,0,68,68,0.41,672422
p0463l00s000662.c,855976,16729,2166,174856,8628,0,0,0,0.40,0,0,0,0,67,67,0.40,663491
p0463l00s000211.c,853661,16824,2091,174896,8746,0,0,0,0.40,0,0,0,0,66,66,0.40,687247
p0463l00s000354.c,863045,16660,2134,176862,8642,0,0,0,0.41,0,0,0,0,67,67,0.41,665679
p0463l00s000299.c,858753,16785,2154,175274,8606,0,0,0,0.39,0,0,0,0,67,67,0.39,616638
p0463l00s000736.c,877651,17416,2504,178012,8709,0,0,0,0.42,0,0,0,0,68,68,0.42,654971
p0463l00s000090.c,864747,16884,2048,177191,8662,0,0,0,0.41,0,0,0,0,67,67,0.41,665593
p0463l00s000419.c,861735,16737,2102,176483,8824,0,0,0,0.40,0,0,0,0,68,68,0.41,664780
p0463l00s000635.c,884895,17253,2294,180168,8784,0,0,0,0.42,0,0,0,0,68,68,0.42,688827
p0463l00s000835.c,868343,17468,2525,176739,8727,0,0,0,0.42,0,0,0,0,67,67,0.42,689873
p0463l00s000523.c,860011,17137,1981,175956,8714,0,0,0,0.40,0,0,0,0,66,66,0.41,673364
p0463l00s000214.c,874533,17105,1578,178229,8758,0,0,0,0.40,0,0,0,0,68,68,0.40,660637
p0463l00s000226.c,857458,16899,2001,175194,8741,0,0,0,0.40,0,0,0,0,67,67,0.40,683375
p0463l00s000125.c,885855,17786,2412,180147,8918,0,0,0,0.48,0,0,0,0,68,68,0.48,780629
p0463l00s000783.c,857073,16814,2006,175618,8615,0,0,0,0.40,0,0,0,0,67,67,0.40,664976
p0463l00s000028.c,844951,16702,2080,173061,8681,0,0,0,0.39,0,0,0,0,65,65,0.39,617951
p0463l00s000478.c,884588,18716,2455,181029,9175,0,0,1,0.49,0,0,0,0,68,68,0.49,813576
p0463l00s000841.c,857697,16502,2072,175714,8589,0,0,0,0.40,0,0,0,0,67,67,0.40,665404
p0463l00s000874.c,858763,16797,2101,175459,8693,0,0,0,0.42,0,0,0,0,67,67,0.42,682060
p0463l00s000387.c,847666,16917,2146,173664,8626,0,0,0,0.40,0,0,0,0,66,66,0.40,669381
p0463l00s000069.c,849083,16538,2071,173998,8705,0,0,0,0.40,0,0,0,0,66,66,0.40,653520
p0463l00s000225.c,873967,17167,2249,177402,8738,0,0,0,0.41,0,0,0,0,68,68,0.41,677751
p0463l00s000744.c,863697,17054,2101,177053,8679,0,0,0,0.40,0,0,0,0,68,68,0.40,677847
p0463l00s000119.c,864988,16892,2088,177377,8709,0,0,0,0.40,0,0,0,0,69,69,0.40,652416
p0463l00s000762.c,859817,16926,2099,176222,8681,0,0,0,0.41,0,0,0,0,67,67,0.41,666253
p0463l00s000384.c,863828,16849,2100,177013,8622,0,0,0,0.40,0,0,0,0,67,67,0.41,656026
p0463l00s000626.c,858317,16904,1620,175983,8616,0,0,0,0.40,0,0,0,0,66,66,0.40,665917
p0463l00s000883.c,860596,16557,2076,175930,8631,0,0,0,0.40,0,0,0,0,67,67,0.40,658639
p0463l00s000250.c,864539,16686,2002,177201,8731,0,0,0,0.40,0,0,0,0,67,67,0.40,678202
p0463l00s000327.c,844201,16617,2090,172953,8742,0,0,0,0.40,0,0,0,0,66,66,0.40,665110
p0463l00s000865.c,878125,17062,2138,178317,8778,0,0,0,0.41,0,0,0,0,67,67,0.41,690997
p0463l00s000839.c,859170,16731,2210,176136,8620,0,0,0,0.40,0,0,0,0,66,66,0.40,667753
p0463l00s000628.c,865139,16932,2349,177412,8686,0,0,0,0.41,0,0,0,0,67,67,0.41,678283
p0463l00s000816.c,877776,17362,2212,178750,8787,0,0,0,0.41,0,0,0,0,67,67,0.41,682470
p0463l00s000449.c,857522,16998,2059,175695,8643,0,0,0,0.40,0,0,0,0,67,67,0.40,661958
p0463l00s000104.c,855131,16938,2236,175186,8566,0,0,0,0.41,0,0,0,0,66,66,0.41,669980
p0463l00s000451.c,851687,16798,2139,174435,8627,0,0,0,0.40,0,0,0,0,67,67,0.40,663154
p0463l00s000080.c,867224,17179,1628,177715,8615,0,0,0,0.40,0,0,0,0,67,67,0.40,652702
p0463l00s000590.c,859369,16920,2058,176093,8650,0,0,0,0.40,0,0,0,0,68,68,0.41,667928
p0463l00s000087.c,865991,16643,2003,177509,8652,0,0,0,0.40,0,0,0,0,67,67,0.40,662596
p0463l00s000318.c,859919,16877,2109,176116,8628,0,0,0,0.41,0,0,0,0,68,68,0.41,669732
p0463l00s000493.c,861697,16881,2080,176695,8744,0,0,0,0.41,0,0,0,0,67,67,0.41,672601
p0463l00s000792.c,861927,16931,2044,176627,8726,0,0,0,0.40,0,0,0,0,67,67,0.40,684232
