Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0291l00s000090.c,890101,17222,2142,182336,8854,0,0,0,0.45,0,0,0,0,71,71,0.45,733952
p0291l00s001599.c,878220,17082,2096,180026,8763,0,0,0,0.44,0,0,0,0,68,68,0.44,721141
p0291l00s000662.c,881540,17074,2321,180755,8711,0,0,0,0.45,0,0,0,0,68,68,0.45,698458
p0291l00s002131.c,867593,17936,2461,177538,8919,0,0,0,0.48,0,0,0,0,67,67,0.48,721758
p0291l00s003435.c,891084,17268,1880,182033,9018,0,0,0,0.43,0,0,0,0,71,71,0.43,703074
p0291l00s001157.c,900583,17955,2640,184419,9149,0,0,0,0.47,0,0,0,0,71,71,0.47,723703
p0291l00s001927.c,882281,18550,2345,180856,9199,0,0,1,0.48,0,0,0,0,67,67,0.48,775095
p0291l00s002430.c,862045,16929,2075,176087,8844,0,0,0,0.43,0,0,0,0,67,67,0.43,705170
p0291l00s000122.c,881555,17379,1744,179868,8831,0,0,0,0.43,0,0,0,0,69,69,0.43,677782
p0291l00s000498.c,860503,16779,2108,176290,8819,0,0,0,0.43,0,0,0,0,68,68,0.43,729869
p0291l00s000506.c,875568,17076,2114,179438,8751,0,0,0,0.44,0,0,0,0,68,68,0.44,702591
p0291l00s001263.c,865556,17188,1641,176843,8789,0,0,0,0.42,0,0,0,0,66,66,0.42,678097
p0291l00s001772.c,867644,17259,2225,177569,8751,0,0,0,0.44,0,0,0,0,68,68,0.44,716271
p0291l00s002636.c,887643,17489,2292,181600,8803,0,0,0,0.44,0,0,0,0,71,71,0.44,707949
p0291l00s001248.c,866238,17256,2090,177401,8808,0,0,0,0.43,0,0,0,0,68,68,0.43,726574
p0291l00s003108.c,876083,17274,1872,179340,8887,0,0,0,0.42,0,0,0,0,70,70,0.42,667669
p0291l00s003001.c,892162,17452,2359,182552,9108,0,0,0,0.45,0,0,0,0,71,71,0.45,753516
p0291l00s001242.c,889127,18287,2561,180690,8971,0,0,0,0.49,0,0,0,0,68,68,0.49,811506
p0291l00s001767.c,859095,17162,2102,176019,8843,0,0,0,0.43,0,0,0,0,66,66,0.43,701839
p0291l00s002473.c,867871,17010,2182,177198,8778,0,0,0,0.43,0,0,0,0,67,67,0.44,750720
p0291l00s000925.c,872794,18087,2371,178192,9017,0,0,0,0.46,0,0,0,0,67,67,0.46,799246
p0291l00s002076.c,884798,16992,1978,181094,8691,0,0,0,0.43,0,0,0,0,71,71,0.43,709032
p0291l00s003189.c,1544019,31228,9328,295646,9231,0,0,0,0.86,0,0,0,0,263,263,0.86,1140475
p0291l00s002503.c,869089,16993,2213,177430,8805,0,0,0,0.44,0,0,0,0,68,68,0.44,722364
p0291l00s002956.c,875889,17064,2191,178815,8831,0,0,0,0.44,0,0,0,0,69,69,0.44,722659
p0291l00s000562.c,876949,16987,1168,179493,8889,0,0,0,0.42,0,0,0,0,70,70,0.42,656057
p0291l00s001468.c,862881,17087,2115,176806,8807,0,0,0,0.43,0,0,0,0,67,67,0.43,712501
