Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0435l00s000062.c,887969,17043,2007,182132,8868,0,0,0,0.44,0,0,0,0,70,70,0.44,695795
p0435l00s000394.c,893003,17234,1068,182499,8962,0,0,0,0.41,0,0,0,0,69,69,0.41,616226
p0435l00s000425.c,886576,18241,2494,180261,8973,0,0,0,0.48,0,0,0,0,67,67,0.48,740191
p0435l00s000448.c,883288,17215,1298,179991,8848,0,0,0,0.42,0,0,0,0,68,68,0.42,658556
p0435l00s000304.c,915602,18099,2789,186563,9156,0,0,0,0.47,0,0,0,0,71,71,0.47,768423
p0435l00s000245.c,871391,17302,2105,178483,8868,0,0,0,0.44,0,0,0,0,67,67,0.44,715696
p0435l00s000478.c,863500,16921,1289,176934,8758,0,0,0,0.42,0,0,0,0,67,67,0.42,689040
p0435l00s000024.c,899128,17295,1352,184277,8982,0,0,0,0.42,0,0,0,0,71,71,0.42,619015
p0435l00s000564.c,887653,18585,2496,181217,9139,0,0,0,0.47,0,0,0,0,68,68,0.47,808065
p0435l00s000293.c,895179,18449,1742,183231,9069,0,0,0,0.45,0,0,0,0,71,71,0.45,780440
p0435l00s000346.c,903902,17538,2227,185203,8828,0,0,0,0.45,0,0,0,0,71,71,0.45,722499
p0435l00s000026.c,859603,16785,2025,176176,8796,0,0,0,0.43,0,0,0,0,67,67,0.43,712529
p0435l00s000464.c,864096,17020,2128,177085,8719,0,0,0,0.43,0,0,0,0,67,67,0.43,736505
p0435l00s000223.c,889611,16743,2114,181380,8818,0,0,0,0.44,0,0,0,0,69,69,0.44,727698
p0435l00s000154.c,918349,17611,2380,187018,8788,0,0,0,0.45,0,0,0,0,71,71,0.45,706564
p0435l00s000505.c,889785,20384,1872,181048,9379,0,0,0,0.49,0,0,0,0,69,69,0.49,820527
p0435l00s000283.c,865299,17022,2441,177472,8717,0,0,0,0.45,0,0,0,0,67,67,0.45,729597
p0435l00s000285.c,861289,17126,2069,176507,8711,0,0,0,0.43,0,0,0,0,68,68,0.43,711284
p0435l00s000177.c,893420,17490,2280,182649,8927,0,0,0,0.44,0,0,0,0,71,71,0.45,724169
p0435l00s000248.c,879210,16983,2116,180339,8752,0,0,0,0.44,0,0,0,0,69,69,0.44,722605
p0435l00s000544.c,868250,16940,1892,177539,8788,0,0,0,0.42,0,0,0,0,68,68,0.42,707273
p0435l00s000359.c,868687,16864,2063,177928,8882,0,0,0,0.43,0,0,0,0,68,68,0.43,699783
p0435l00s000203.c,894205,17218,2577,183254,8935,0,0,0,0.44,0,0,0,0,70,70,0.44,692889
p0435l00s000094.c,862914,17184,1867,176701,8789,0,0,0,0.43,0,0,0,0,67,67,0.43,690717
p0435l00s000102.c,862128,16790,2094,176200,8734,0,0,0,0.43,0,0,0,0,66,66,0.43,706021
p0435l00s000380.c,876431,17137,2188,179068,8856,0,0,0,0.44,0,0,0,0,67,67,0.44,720984
p0435l00s000110.c,874228,17159,2016,178749,8941,0,0,0,0.43,0,0,0,0,68,68,0.43,706235
p0435l00s000185.c,862248,17013,980,176688,8810,0,0,0,0.41,0,0,0,0,67,67,0.41,633250
p0435l00s000066.c,871117,17056,2231,177550,8740,0,0,0,0.43,0,0,0,0,66,66,0.43,711342
p0435l00s000528.c,884987,17266,2263,181381,8909,0,0,0,0.44,0,0,0,0,68,68,0.44,724074
p0435l00s000092.c,879424,18505,2567,179680,9283,0,0,1,0.50,0,0,0,0,67,67,0.50,768659
p0435l00s000529.c,883708,17140,2131,181246,8744,0,0,0,0.44,0,0,0,0,69,69,0.44,720819
p0435l00s000168.c,870255,17047,2143,178323,8770,0,0,0,0.43,0,0,0,0,67,67,0.43,720100
p0435l00s000101.c,877078,17275,2190,178692,8865,0,0,0,0.44,0,0,0,0,68,68,0.44,723165
p0435l00s000474.c,879145,16884,2106,180087,8748,0,0,0,0.43,0,0,0,0,68,68,0.43,682371
p0435l00s000295.c,869961,16976,2139,177580,8725,0,0,0,0.44,0,0,0,0,68,68,0.44,705614
p0435l00s000418.c,889807,17312,2263,181677,8891,0,0,0,0.45,0,0,0,0,69,69,0.45,727930
p0435l00s000413.c,884463,17021,2214,181346,9050,0,0,0,0.45,0,0,0,0,70,70,0.45,732346
p0435l00s000503.c,878671,17145,2256,178739,8890,0,0,0,0.44,0,0,0,0,66,66,0.45,714445
p0435l00s000447.c,861092,16968,2087,176492,8752,0,0,0,0.43,0,0,0,0,66,66,0.43,722561
p0435l00s000215.c,887312,17134,1700,181154,8748,0,0,0,0.43,0,0,0,0,70,70,0.43,657723
p0435l00s000076.c,872177,17080,2071,178745,8777,0,0,0,0.44,0,0,0,0,69,69,0.44,709676
p0435l00s000216.c,884112,16857,2075,181340,8675,0,0,0,0.43,0,0,0,0,69,69,0.43,728744
p0435l00s000438.c,862093,16732,2061,176820,8739,0,0,0,0.43,0,0,0,0,66,66,0.43,699841
p0435l00s000083.c,862305,16966,2044,176699,8813,0,0,0,0.43,0,0,0,0,66,66,0.43,712666
p0435l00s000525.c,863309,16901,2118,176854,8693,0,0,0,0.43,0,0,0,0,68,68,0.43,727354
p0435l00s000545.c,887875,17485,2236,181206,8776,0,0,0,0.45,0,0,0,0,70,70,0.45,734607
p0435l00s000290.c,868227,16996,2351,178009,8797,0,0,0,0.43,0,0,0,0,68,68,0.43,677306
p0435l00s000329.c,889086,17264,2404,181122,8954,0,0,0,0.45,0,0,0,0,70,70,0.45,728022
p0435l00s000265.c,867528,17224,2065,177871,8985,0,0,0,0.44,0,0,0,0,67,67,0.44,718266
p0435l00s000313.c,880808,16597,2072,180011,8787,0,0,0,0.43,0,0,0,0,68,68,0.43,719918
p0435l00s000512.c,877382,17298,2094,178688,8855,0,0,0,0.43,0,0,0,0,66,66,0.43,699374
p0435l00s000371.c,890189,17383,2414,181471,8772,0,0,0,0.44,0,0,0,0,69,69,0.44,693905
p0435l00s000242.c,873982,18138,2384,179166,9003,0,0,0,0.48,0,0,0,0,68,68,0.48,770390
p0435l00s000060.c,879933,16829,2094,179715,8707,0,0,0,0.44,0,0,0,0,69,69,0.44,713580
p0435l00s000197.c,894586,17179,1967,182111,8841,0,0,0,0.44,0,0,0,0,69,69,0.44,708112
p0435l00s000085.c,867754,17033,2104,177686,8572,0,0,0,0.44,0,0,0,0,67,67,0.44,712608
p0435l00s000408.c,870960,16634,2022,178518,8776,0,0,0,0.44,0,0,0,0,69,69,0.44,719974
p0435l00s000217.c,871866,16909,1674,178001,8783,0,0,0,0.43,0,0,0,0,68,68,0.43,705416
p0435l00s000028.c,863609,17121,2116,176814,8726,0,0,0,0.43,0,0,0,0,67,67,0.43,718651
p0435l00s000081.c,899027,17299,2178,184200,9114,0,0,0,0.45,0,0,0,0,71,71,0.45,700423
p0435l00s000113.c,888918,17307,2243,182299,8995,0,0,0,0.45,0,0,0,0,69,69,0.45,737902
p0435l00s000231.c,867705,16994,2049,177935,8762,0,0,0,0.42,0,0,0,0,67,67,0.42,737507
p0435l00s000526.c,877056,17402,2392,178653,8882,0,0,0,0.45,0,0,0,0,67,67,0.45,712126
p0435l00s000201.c,894946,17318,2368,183345,8914,0,0,0,0.45,0,0,0,0,72,72,0.45,726779
p0435l00s000120.c,875757,16870,1895,179593,8792,0,0,0,0.43,0,0,0,0,68,68,0.43,690008
p0435l00s000336.c,863327,17917,2308,176830,8904,0,0,0,0.43,0,0,0,0,66,66,0.44,4442923
p0435l00s000466.c,915476,17591,2421,186670,8852,0,0,0,0.45,0,0,0,0,71,71,0.45,688633
p0435l00s000549.c,903630,17385,2183,183993,8944,0,0,0,0.45,0,0,0,0,70,70,0.45,731515
p0435l00s000363.c,882329,17033,2241,180772,8899,0,0,0,0.44,0,0,0,0,68,68,0.44,687792
p0435l00s000234.c,870143,17122,2167,178072,8898,0,0,0,0.44,0,0,0,0,67,67,0.44,680144
p0435l00s000312.c,877234,17039,2129,179782,8924,0,0,0,0.45,0,0,0,0,68,68,0.45,740585
p0435l00s000149.c,863211,16661,2033,177050,8775,0,0,0,0.43,0,0,0,0,67,67,0.43,711540
p0435l00s000219.c,885820,16958,2101,181768,8677,0,0,0,0.44,0,0,0,0,70,70,0.44,714319
p0435l00s000444.c,875649,16825,2237,179433,8759,0,0,0,0.43,0,0,0,0,68,68,0.43,712340
p0435l00s000366.c,883931,16999,2137,181215,8814,0,0,0,0.44,0,0,0,0,69,69,0.44,719506
p0435l00s000446.c,866498,16959,2157,176930,8888,0,0,0,0.44,0,0,0,0,67,67,0.44,717968
p0435l00s000535.c,867026,17189,1744,177672,8753,0,0,0,0.42,0,0,0,0,67,67,0.42,692490
p0435l00s000378.c,886224,17183,1259,181695,8802,0,0,0,0.42,0,0,0,0,69,69,0.42,650846
p0435l00s000443.c,904608,17788,2323,183766,8891,0,0,0,0.45,0,0,0,0,71,71,0.45,729361
p0435l00s000531.c,886485,19266,2597,181948,9249,0,0,1,0.52,0,0,0,0,68,68,0.52,791744
p0435l00s000351.c,867941,16931,2148,177414,8805,0,0,0,0.43,0,0,0,0,66,66,0.44,709380
p0435l00s000333.c,880930,17149,2189,179931,9151,0,0,0,0.46,0,0,0,0,70,70,0.46,756090
p0435l00s000126.c,904248,17249,2422,184317,8716,0,0,0,0.45,0,0,0,0,70,70,0.45,742274
p0435l00s000162.c,876060,17160,2139,179445,8734,0,0,0,0.43,0,0,0,0,68,68,0.43,669893
p0435l00s000095.c,880994,17109,2095,180547,8840,0,0,0,0.44,0,0,0,0,68,68,0.44,717871
p0435l00s000055.c,868399,17269,2373,177761,8913,0,0,0,0.44,0,0,0,0,67,67,0.44,691684
p0435l00s000048.c,885089,17419,2360,179560,8875,0,0,0,0.45,0,0,0,0,68,68,0.45,736430
p0435l00s000395.c,876336,17051,2138,179527,8755,0,0,0,0.44,0,0,0,0,69,69,0.44,726637
p0435l00s000224.c,860355,16884,2142,176263,8638,0,0,0,0.43,0,0,0,0,67,67,0.43,715101
p0435l00s000428.c,878007,17144,2159,179854,8856,0,0,0,0.44,0,0,0,0,69,69,0.44,728620
p0435l00s000291.c,896628,17426,2277,183136,8797,0,0,0,0.45,0,0,0,0,72,72,0.45,731357
p0435l00s000142.c,866348,16949,1146,177615,8821,0,0,0,0.42,0,0,0,0,67,67,0.42,620494
p0435l00s000030.c,932313,19267,2801,190261,9325,0,0,1,0.53,0,0,0,0,72,72,0.53,793627
p0435l00s000243.c,863709,17464,2479,176805,8978,0,0,0,0.42,0,0,0,0,67,67,0.42,742683
p0435l00s000369.c,895980,17204,1180,182325,8841,0,0,0,0.42,0,0,0,0,69,69,0.42,652817
p0435l00s000475.c,893849,17152,2288,183205,8925,0,0,0,0.45,0,0,0,0,70,70,0.45,718365
p0435l00s000152.c,864213,17057,2078,177144,8682,0,0,0,0.44,0,0,0,0,67,67,0.44,715753
p0435l00s000107.c,875303,17020,2056,178325,8780,0,0,0,0.44,0,0,0,0,68,68,0.44,695596
p0435l00s000442.c,900837,17355,2141,183433,8895,0,0,0,0.45,0,0,0,0,69,69,0.45,736057
