Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0469l00s000349.c,868180,17272,2392,177948,8843,0,0,0,0.46,0,0,0,0,68,68,0.46,710241
p0469l00s000670.c,854585,17137,1765,175000,8951,0,0,0,0.42,0,0,0,0,66,66,0.42,711698
p0469l00s000879.c,871323,17819,1122,178527,8845,0,0,0,0.42,0,0,0,0,67,67,0.42,611225
p0469l00s000686.c,850664,16838,2300,174335,8729,0,0,0,0.45,0,0,0,0,66,66,0.45,705432
p0469l00s000044.c,856594,16549,1994,175652,8779,0,0,0,0.42,0,0,0,0,68,68,0.42,700468
p0469l00s000270.c,866768,17062,2143,176553,8713,0,0,0,0.43,0,0,0,0,67,67,0.43,747363
p0469l00s000597.c,857167,16637,1077,175750,8726,0,0,0,0.41,0,0,0,0,66,66,0.41,640753
p0469l00s000157.c,858784,17093,2115,175273,8770,0,0,0,0.43,0,0,0,0,67,67,0.43,720806
p0469l00s000003.c,844564,16895,2088,173035,8597,0,0,0,0.42,0,0,0,0,65,65,0.42,716444
p0469l00s000115.c,879079,17127,2172,179000,8679,0,0,0,0.44,0,0,0,0,67,67,0.44,698214
p0469l00s000909.c,843674,16924,2091,172594,8721,0,0,0,0.43,0,0,0,0,66,66,0.43,719578
p0469l00s000500.c,859430,17051,1287,176031,8641,0,0,0,0.41,0,0,0,0,67,67,0.41,660179
p0469l00s000824.c,838138,16841,1975,171721,8681,0,0,0,0.43,0,0,0,0,65,65,0.43,714991
p0469l00s000739.c,865933,16877,2094,176181,8522,0,0,0,0.44,0,0,0,0,67,67,0.44,731318
p0469l00s000280.c,867859,17100,1741,177323,8912,0,0,0,0.42,0,0,0,0,67,67,0.42,680139
p0469l00s000128.c,856827,17111,1993,175459,8635,0,0,0,0.43,0,0,0,0,67,67,0.43,726872
p0469l00s000347.c,843586,16614,2242,172826,8566,0,0,0,0.42,0,0,0,0,65,65,0.43,704397
p0469l00s000480.c,874481,16846,2033,178742,8795,0,0,0,0.43,0,0,0,0,69,69,0.43,674819
p0469l00s000499.c,862004,17079,2384,175786,8732,0,0,0,0.43,0,0,0,0,67,67,0.43,677835
p0469l00s000737.c,843370,16732,2027,172812,8734,0,0,0,0.42,0,0,0,0,65,65,0.42,709951
p0469l00s000692.c,859454,16925,2080,175552,8780,0,0,0,0.43,0,0,0,0,66,66,0.43,707840
p0469l00s000010.c,852642,16598,2053,174706,8717,0,0,0,0.42,0,0,0,0,67,67,0.42,675185
p0469l00s000894.c,849978,16860,2078,174079,8748,0,0,0,0.43,0,0,0,0,67,67,0.43,708272
p0469l00s000495.c,864513,17065,2543,176210,8700,0,0,0,0.45,0,0,0,0,66,66,0.45,731757
p0469l00s000369.c,882655,16973,2258,179390,8806,0,0,0,0.44,0,0,0,0,68,68,0.45,695918
p0469l00s000722.c,861534,16681,1639,176070,8756,0,0,0,0.42,0,0,0,0,66,66,0.42,672408
p0469l00s000825.c,859070,16503,2154,175400,8808,0,0,0,0.42,0,0,0,0,67,67,0.42,674397
p0469l00s000823.c,889470,17422,2279,181120,8929,0,0,0,0.44,0,0,0,0,69,69,0.44,743381
p0469l00s000927.c,867522,17046,2006,176669,8780,0,0,0,0.43,0,0,0,0,66,66,0.43,737784
p0469l00s000826.c,863158,16761,2466,176756,8715,0,0,0,0.43,0,0,0,0,68,68,0.44,691259
p0469l00s000472.c,850699,16738,2074,174108,8665,0,0,0,0.43,0,0,0,0,67,67,0.43,703761
p0469l00s000521.c,860858,16603,1996,175981,8659,0,0,0,0.43,0,0,0,0,68,68,0.43,710740
p0469l00s000851.c,867181,17627,1095,176996,8887,0,0,0,0.43,0,0,0,0,67,67,0.43,655699
p0469l00s000335.c,882714,16932,2152,179652,8639,0,0,0,0.44,0,0,0,0,68,68,0.44,740881
p0469l00s000321.c,854412,16748,2058,175022,8663,0,0,0,0.43,0,0,0,0,67,67,0.43,706266
p0469l00s000294.c,848110,16722,2033,173608,8611,0,0,0,0.42,0,0,0,0,66,66,0.43,679909
p0469l00s000224.c,862900,16774,2106,175270,8676,0,0,0,0.41,0,0,0,0,66,66,0.43,695221
p0469l00s000857.c,857025,16886,1703,175601,8725,0,0,0,0.42,0,0,0,0,67,67,0.42,666786
p0469l00s000872.c,872145,17062,2104,178367,8662,0,0,0,0.43,0,0,0,0,68,68,0.43,717962
p0469l00s000780.c,872559,18561,2426,178734,9180,0,0,1,0.48,0,0,0,0,66,66,0.48,748440
p0469l00s000850.c,848738,17051,2374,173821,8980,0,0,0,0.45,0,0,0,0,67,67,0.45,739403
p0469l00s000160.c,863382,16917,2089,176789,8737,0,0,0,0.44,0,0,0,0,68,68,0.44,721476
p0469l00s000326.c,871380,16607,2051,177586,8521,0,0,0,0.43,0,0,0,0,68,68,0.43,722649
p0469l00s000943.c,871789,17137,2067,176860,8779,0,0,0,0.43,0,0,0,0,68,68,0.44,735825
p0469l00s000213.c,867528,16899,1651,177301,8772,0,0,0,0.42,0,0,0,0,67,67,0.42,660459
p0469l00s000650.c,859469,16688,2104,175475,8684,0,0,0,0.43,0,0,0,0,67,67,0.43,716998
p0469l00s000908.c,846590,16792,2002,173570,8796,0,0,0,0.42,0,0,0,0,65,65,0.42,673789
p0469l00s000414.c,853201,16746,2020,174291,8722,0,0,0,0.43,0,0,0,0,66,66,0.43,708290
p0469l00s000429.c,875742,16863,2329,177617,8731,0,0,0,0.43,0,0,0,0,67,67,0.43,691289
p0469l00s000247.c,862954,16705,1323,176952,8713,0,0,0,0.42,0,0,0,0,68,68,0.42,693530
p0469l00s000651.c,861469,16949,1262,176421,8678,0,0,0,0.42,0,0,0,0,68,68,0.42,697405
p0469l00s000034.c,856597,16668,1713,174970,8783,0,0,0,0.43,0,0,0,0,68,68,0.43,677258
p0469l00s000234.c,852925,16649,1949,174784,8663,0,0,0,0.43,0,0,0,0,67,67,0.43,707981
p0469l00s000595.c,866623,16836,2066,177055,8782,0,0,0,0.40,0,0,0,0,67,67,0.41,690241
p0469l00s000635.c,854207,17061,2342,175151,8703,0,0,0,0.43,0,0,0,0,67,67,0.43,720133
p0469l00s000334.c,858361,16937,2067,175892,8651,0,0,0,0.43,0,0,0,0,67,67,0.43,713266
p0469l00s000269.c,872978,18319,2412,179020,9107,0,0,1,0.47,0,0,0,0,67,67,0.47,740884
p0469l00s000859.c,868913,16853,2097,177492,8640,0,0,0,0.43,0,0,0,0,68,68,0.43,717222
p0469l00s000514.c,877239,16825,2370,178844,8635,0,0,0,0.45,0,0,0,0,69,69,0.45,733382
p0469l00s000933.c,862026,17022,2097,176524,8677,0,0,0,0.43,0,0,0,0,68,68,0.43,725466
p0469l00s000065.c,860659,17747,2342,176141,8965,0,0,0,0.45,0,0,0,0,67,67,0.45,712318
p0469l00s000045.c,858025,16955,1979,175857,8728,0,0,0,0.42,0,0,0,0,66,66,0.42,670477
p0469l00s000014.c,869860,17018,2110,178156,8842,0,0,0,0.44,0,0,0,0,68,68,0.44,710762
p0469l00s000945.c,866242,17044,2112,176655,8681,0,0,0,0.43,0,0,0,0,67,67,0.43,744398
p0469l00s000413.c,874394,17071,2137,178005,8719,0,0,0,0.43,0,0,0,0,68,68,0.43,708918
p0469l00s000860.c,839849,16944,2090,171943,8951,0,0,0,0.43,0,0,0,0,66,66,0.43,730097
p0469l00s000228.c,849535,16579,1778,173093,8711,0,0,0,0.42,0,0,0,0,65,65,0.42,695458
p0469l00s000761.c,867808,16963,2065,177875,8745,0,0,0,0.43,0,0,0,0,68,68,0.43,716625
p0469l00s000155.c,851109,16708,2006,174327,8773,0,0,0,0.43,0,0,0,0,66,66,0.43,717782
p0469l00s000201.c,866386,17025,2264,176586,8700,0,0,0,0.44,0,0,0,0,66,66,0.44,722171
p0469l00s000417.c,865130,16992,1983,177350,8654,0,0,0,0.43,0,0,0,0,67,67,0.43,718365
p0469l00s000440.c,856993,16829,2055,175073,8600,0,0,0,0.43,0,0,0,0,66,66,0.43,713117
p0469l00s000114.c,862468,16868,2338,176627,8720,0,0,0,0.46,0,0,0,0,67,67,0.46,741590
p0469l00s000922.c,848042,17025,1851,173615,8825,0,0,0,0.42,0,0,0,0,67,67,0.42,673967
p0469l00s000319.c,859373,17127,2132,175424,8751,0,0,0,0.44,0,0,0,0,67,67,0.44,729676
p0469l00s000377.c,885504,17193,2043,179913,8829,0,0,0,0.44,0,0,0,0,67,67,0.44,728018
p0469l00s000402.c,841130,16674,2021,172356,8644,0,0,0,0.42,0,0,0,0,66,66,0.43,721004
p0469l00s000006.c,844862,16809,2083,172986,8696,0,0,0,0.42,0,0,0,0,67,67,0.42,675116
p0469l00s000522.c,861196,17057,2065,176359,8865,0,0,0,0.42,0,0,0,0,68,68,0.43,741700
p0469l00s000889.c,863590,17166,2147,176049,8822,0,0,0,0.44,0,0,0,0,67,67,0.44,725694
p0469l00s000709.c,867105,17080,1290,177629,8750,0,0,0,0.43,0,0,0,0,68,68,0.43,691729
p0469l00s000681.c,874839,16927,1997,179125,8714,0,0,0,0.43,0,0,0,0,69,69,0.43,709358
p0469l00s000729.c,856683,16716,2017,174988,8746,0,0,0,0.43,0,0,0,0,66,66,0.43,717103
p0469l00s000701.c,847645,17083,2104,173464,8734,0,0,0,0.43,0,0,0,0,66,66,0.43,727519
p0469l00s000575.c,864963,16944,1127,177280,8658,0,0,0,0.40,0,0,0,0,67,67,0.40,596799
p0469l00s000520.c,845131,16645,1607,172614,8634,0,0,0,0.39,0,0,0,0,65,65,0.39,646128
p0469l00s000586.c,861877,16846,1972,176057,8620,0,0,0,0.43,0,0,0,0,67,67,0.43,721589
p0469l00s000668.c,852472,17110,2346,173872,8697,0,0,0,0.44,0,0,0,0,66,66,0.44,722332
p0469l00s000409.c,861902,16858,2022,176232,8637,0,0,0,0.43,0,0,0,0,67,67,0.43,717922
p0469l00s000260.c,883819,17310,1389,179719,8869,0,0,0,0.43,0,0,0,0,68,68,0.43,696408
p0469l00s000914.c,849218,18274,2531,174094,9176,0,0,1,0.46,0,0,0,0,65,65,0.46,747838
p0469l00s000297.c,847808,16991,1995,173192,8744,0,0,0,0.43,0,0,0,0,66,66,0.44,715462
p0469l00s000627.c,852080,16865,2172,174496,8612,0,0,0,0.43,0,0,0,0,67,67,0.43,721012
p0469l00s000532.c,872891,17785,2445,178678,8885,0,0,0,0.46,0,0,0,0,68,68,0.46,716479
p0469l00s000957.c,853161,16907,2045,174837,8704,0,0,0,0.43,0,0,0,0,66,66,0.43,709902
p0469l00s000867.c,864495,17762,2360,176981,8966,0,0,0,0.45,0,0,0,0,67,67,0.45,803679
p0469l00s000277.c,853031,16583,2015,174757,8789,0,0,0,0.42,0,0,0,0,67,67,0.42,670022
p0469l00s000360.c,848254,16961,2079,173775,8771,0,0,0,0.43,0,0,0,0,66,66,0.43,705219
p0469l00s000199.c,871498,18695,2330,178070,9197,0,0,1,0.48,0,0,0,0,66,66,0.48,788908
p0469l00s000153.c,860614,17010,2148,176237,8679,0,0,0,0.42,0,0,0,0,67,67,0.42,681380
p0469l00s000819.c,870100,16836,2316,178306,8677,0,0,0,0.44,0,0,0,0,69,69,0.44,697219
p0469l00s000207.c,855866,17190,2142,175099,8735,0,0,0,0.43,0,0,0,0,67,67,0.43,734023
p0469l00s000307.c,855977,16744,2024,174897,8704,0,0,0,0.40,0,0,0,0,66,66,0.40,693320
p0469l00s000567.c,858215,16820,2060,175921,8667,0,0,0,0.43,0,0,0,0,67,67,0.43,719683
p0469l00s000466.c,855279,17036,2050,175065,8787,0,0,0,0.42,0,0,0,0,67,67,0.42,744648
p0469l00s000921.c,873751,16916,1381,177439,8698,0,0,0,0.42,0,0,0,0,66,66,0.42,694811
p0469l00s000090.c,863995,16753,2054,177002,8678,0,0,0,0.43,0,0,0,0,67,67,0.43,707384
p0469l00s000081.c,844856,16819,1255,173002,8706,0,0,0,0.41,0,0,0,0,65,65,0.41,683054
p0469l00s000271.c,864472,16968,2136,177007,8761,0,0,0,0.45,0,0,0,0,68,68,0.45,736001
p0469l00s000031.c,875684,16983,2143,178769,8704,0,0,0,0.44,0,0,0,0,69,69,0.44,726689
p0469l00s000407.c,843765,16646,1948,172316,8601,0,0,0,0.42,0,0,0,0,66,66,0.42,714457
p0469l00s000703.c,846819,16617,2064,173560,8608,0,0,0,0.43,0,0,0,0,66,66,0.43,713940
p0469l00s000707.c,839245,16905,2275,172060,8691,0,0,0,0.43,0,0,0,0,65,65,0.43,748082
p0469l00s000593.c,843374,17248,2034,172686,8958,0,0,0,0.43,0,0,0,0,65,65,0.43,716082
p0469l00s000133.c,852536,16711,2018,174259,8680,0,0,0,0.42,0,0,0,0,66,66,0.43,708375
p0469l00s000400.c,870940,17127,2178,177329,8718,0,0,0,0.44,0,0,0,0,67,67,0.44,738175
p0469l00s000942.c,863267,16799,2053,176788,8681,0,0,0,0.43,0,0,0,0,68,68,0.43,712881
p0469l00s000619.c,868092,17207,2413,177744,8747,0,0,0,0.43,0,0,0,0,68,68,0.43,684436
p0469l00s000085.c,837261,16803,2408,171496,8668,0,0,0,0.45,0,0,0,0,66,66,0.45,735800
p0469l00s000061.c,855115,16608,1134,174595,8756,0,0,0,0.40,0,0,0,0,67,67,0.40,636346
p0469l00s000726.c,862429,17628,2446,176765,8858,0,0,0,0.47,0,0,0,0,66,66,0.47,721235
p0469l00s000451.c,894481,17973,2563,182075,8951,0,0,0,0.50,0,0,0,0,69,69,0.50,763592
p0469l00s000953.c,848050,16711,2056,173853,8739,0,0,0,0.43,0,0,0,0,66,66,0.43,719273
p0469l00s000672.c,849214,16931,2075,173441,8736,0,0,0,0.43,0,0,0,0,65,65,0.43,711603
p0469l00s000471.c,847296,16803,2037,173750,8834,0,0,0,0.43,0,0,0,0,65,65,0.43,725039
p0469l00s000118.c,864146,17026,2074,176889,8747,0,0,0,0.43,0,0,0,0,68,68,0.43,689595
p0469l00s000630.c,857512,17058,2041,175766,8883,0,0,0,0.44,0,0,0,0,66,66,0.44,690992
p0469l00s000516.c,864131,16638,1536,176516,8685,0,0,0,0.42,0,0,0,0,68,68,0.42,662299
p0469l00s000506.c,850915,16791,2099,173817,8696,0,0,0,0.43,0,0,0,0,67,67,0.43,709548
p0469l00s000348.c,858637,16947,2078,175894,8792,0,0,0,0.44,0,0,0,0,68,68,0.44,719905
p0469l00s000368.c,850053,16796,2055,174125,8718,0,0,0,0.43,0,0,0,0,67,67,0.43,725757
p0469l00s000399.c,857537,17143,2028,175464,8903,0,0,0,0.44,0,0,0,0,66,66,0.44,722333
p0469l00s000296.c,852546,17039,2140,174137,8825,0,0,0,0.44,0,0,0,0,66,66,0.44,731553
p0469l00s000803.c,857116,16854,1835,175473,8796,0,0,0,0.43,0,0,0,0,67,67,0.43,715272
p0469l00s000900.c,851101,16807,1977,174301,8686,0,0,0,0.42,0,0,0,0,67,67,0.42,716385
p0469l00s000838.c,853505,16791,2293,174850,8678,0,0,0,0.44,0,0,0,0,68,68,0.44,722378
p0469l00s000373.c,853257,16397,2034,174196,8738,0,0,0,0.43,0,0,0,0,66,66,0.43,711180
p0469l00s000750.c,857967,16701,1059,175929,8710,0,0,0,0.41,0,0,0,0,66,66,0.41,595846
p0469l00s000227.c,868519,17273,299,176717,8806,0,0,0,0.40,0,0,0,0,67,67,0.41,630786
p0469l00s000662.c,857527,16612,1987,175228,8715,0,0,0,0.42,0,0,0,0,66,66,0.42,743994
p0469l00s000457.c,861536,16848,2053,176544,8721,0,0,0,0.43,0,0,0,0,67,67,0.43,736448
p0469l00s000346.c,858938,16989,1998,175994,8530,0,0,0,0.43,0,0,0,0,68,68,0.43,713714
p0469l00s000000.c,854798,16557,2083,174622,8655,0,0,0,0.43,0,0,0,0,66,66,0.43,707745
p0469l00s000255.c,855324,17832,2456,174544,8939,0,0,0,0.49,0,0,0,0,66,66,0.49,753428
p0469l00s000437.c,863455,16883,2392,177032,8708,0,0,0,0.45,0,0,0,0,67,67,0.45,732835
p0469l00s000375.c,867735,16718,2011,177924,8717,0,0,0,0.43,0,0,0,0,67,67,0.43,721181
p0469l00s000913.c,848780,16642,2040,173857,8676,0,0,0,0.43,0,0,0,0,66,66,0.43,722275
p0469l00s000577.c,840205,16433,1683,172199,8596,0,0,0,0.39,0,0,0,0,65,65,0.39,647894
p0469l00s000518.c,855899,16543,2077,175302,8695,0,0,0,0.42,0,0,0,0,67,67,0.43,719204
p0469l00s000314.c,867208,17767,2314,177075,8960,0,0,0,0.47,0,0,0,0,67,67,0.47,736111
p0469l00s000862.c,879602,17369,2159,178435,8947,0,0,0,0.45,0,0,0,0,68,68,0.45,746157
p0469l00s000907.c,854477,16956,1985,175202,8739,0,0,0,0.43,0,0,0,0,66,66,0.43,711630
p0469l00s000379.c,875747,17296,2433,178256,8668,0,0,0,0.44,0,0,0,0,67,67,0.44,731911
p0469l00s000281.c,847407,16778,1215,173537,8579,0,0,0,0.41,0,0,0,0,66,66,0.41,677777
p0469l00s000057.c,860000,16927,2075,176034,8755,0,0,0,0.43,0,0,0,0,68,68,0.43,681220
p0469l00s000639.c,879429,17033,942,179617,8782,0,0,0,0.41,0,0,0,0,69,69,0.41,645574
p0469l00s000951.c,851054,16973,2384,174221,8794,0,0,0,0.44,0,0,0,0,66,66,0.44,697852
p0469l00s000180.c,843773,16746,2078,172786,8773,0,0,0,0.43,0,0,0,0,65,65,0.43,712801
p0469l00s000558.c,853121,17594,1533,174783,8959,0,0,0,0.46,0,0,0,0,66,66,0.46,723201
p0469l00s000524.c,863137,16864,1981,176984,8692,0,0,0,0.44,0,0,0,0,67,67,0.44,725709
p0469l00s000028.c,848564,16807,2362,173815,8710,0,0,0,0.45,0,0,0,0,66,66,0.45,734324
p0469l00s000610.c,871144,16887,2371,178650,8662,0,0,0,0.45,0,0,0,0,69,69,0.45,748639
p0469l00s000462.c,843456,16776,2029,172931,8708,0,0,0,0.43,0,0,0,0,65,65,0.43,707175
p0469l00s000732.c,871452,17261,2101,177403,8843,0,0,0,0.44,0,0,0,0,67,67,0.44,743048
p0469l00s000046.c,856624,17037,2033,174887,8787,0,0,0,0.44,0,0,0,0,66,66,0.44,726009
p0469l00s000788.c,846210,16812,2152,172817,8768,0,0,0,0.43,0,0,0,0,67,67,0.43,705023
p0469l00s000333.c,861209,16780,2053,176558,8771,0,0,0,0.43,0,0,0,0,67,67,0.43,685326
p0469l00s000764.c,884858,17348,2160,180168,8742,0,0,0,0.42,0,0,0,0,68,68,0.42,713577
p0469l00s000232.c,851880,16981,2126,174593,8679,0,0,0,0.42,0,0,0,0,66,66,0.42,727981
p0469l00s000386.c,847561,16686,2103,173659,8640,0,0,0,0.42,0,0,0,0,66,66,0.42,669465
p0469l00s000312.c,869389,17405,2258,176618,8847,0,0,0,0.44,0,0,0,0,66,66,0.44,733059
p0469l00s000415.c,868963,17863,2188,177805,8986,0,0,0,0.45,0,0,0,0,67,67,0.45,706638
p0469l00s000835.c,869040,16715,1437,177606,8705,0,0,0,0.40,0,0,0,0,68,68,0.40,642571
p0469l00s000004.c,867731,16821,2015,177272,8726,0,0,0,0.43,0,0,0,0,67,67,0.43,682747
p0469l00s000196.c,868043,16924,2086,177974,8667,0,0,0,0.43,0,0,0,0,67,67,0.43,679985
p0469l00s000487.c,848844,17054,2024,173817,8767,0,0,0,0.43,0,0,0,0,67,67,0.43,711481
p0469l00s000378.c,867174,17167,2265,177667,8935,0,0,0,0.44,0,0,0,0,68,68,0.44,693925
p0469l00s000463.c,858187,16652,1765,175859,8652,0,0,0,0.42,0,0,0,0,67,67,0.42,673532
p0469l00s000079.c,862141,16885,2065,176571,8705,0,0,0,0.42,0,0,0,0,67,67,0.42,741190
p0469l00s000020.c,851989,16847,2203,174209,8650,0,0,0,0.42,0,0,0,0,66,66,0.42,703386
p0469l00s000691.c,863900,17060,2259,175929,8666,0,0,0,0.44,0,0,0,0,66,66,0.44,687973
p0469l00s000001.c,847117,16735,1653,173579,8753,0,0,0,0.43,0,0,0,0,66,66,0.43,714059
p0469l00s000568.c,855825,16808,1609,174369,8738,0,0,0,0.42,0,0,0,0,66,66,0.42,661320
p0469l00s000008.c,847051,16780,2153,173379,8772,0,0,0,0.43,0,0,0,0,66,66,0.43,726586
p0469l00s000512.c,866266,17948,2484,177550,9141,0,0,1,0.47,0,0,0,0,68,68,0.48,743143
p0469l00s000145.c,856349,16870,2010,175460,8721,0,0,0,0.43,0,0,0,0,66,66,0.43,710375
p0469l00s000137.c,864892,17038,2074,177084,8843,0,0,0,0.44,0,0,0,0,68,68,0.44,730949
p0469l00s000584.c,863671,17106,2014,177071,8872,0,0,0,0.44,0,0,0,0,67,67,0.44,728487
p0469l00s000735.c,868672,16898,2011,177098,8755,0,0,0,0.43,0,0,0,0,67,67,0.43,715964
p0469l00s000184.c,872111,17110,2238,177357,8864,0,0,0,0.44,0,0,0,0,66,66,0.44,721703
p0469l00s000212.c,847686,17151,1941,173444,8707,0,0,0,0.43,0,0,0,0,66,66,0.43,716367
