Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0585l00s000049.c,871723,18710,2475,178624,9415,0,0,1,0.50,0,0,0,0,66,66,0.50,796627
p0585l00s000175.c,885393,18013,1634,180829,9009,0,0,0,0.46,0,0,0,0,68,68,0.46,701980
p0585l00s000370.c,877706,18194,1884,179607,9033,0,0,0,0.45,0,0,0,0,68,68,0.45,703601
p0585l00s000011.c,870242,17050,2173,178365,8784,0,0,0,0.44,0,0,0,0,67,67,0.44,714340
p0585l00s000188.c,879942,17948,2448,180385,9159,0,0,1,0.48,0,0,0,0,69,69,0.48,746425
p0585l00s000419.c,893049,17666,2136,181251,8858,0,0,0,0.45,0,0,0,0,69,69,0.45,738072
p0585l00s000573.c,862308,17246,2407,176568,8766,0,0,0,0.44,0,0,0,0,68,68,0.44,747322
p0585l00s000150.c,867974,17321,1342,177250,9003,0,0,0,0.43,0,0,0,0,68,68,0.43,710920
p0585l00s000480.c,875640,17299,1594,179453,8714,0,0,0,0.42,0,0,0,0,68,68,0.42,694564
p0585l00s000411.c,876070,17089,2092,178967,8805,0,0,0,0.46,0,0,0,0,68,68,0.46,731563
p0585l00s000353.c,871343,16919,2102,178462,8830,0,0,0,0.44,0,0,0,0,68,68,0.44,718812
p0585l00s000320.c,874248,17917,2143,179172,9016,0,0,0,0.49,0,0,0,0,69,69,0.49,734921
p0585l00s000392.c,869426,17818,1709,176895,9048,0,0,0,0.46,0,0,0,0,67,67,0.46,716742
p0585l00s000204.c,855265,16979,2189,175179,8632,0,0,0,0.43,0,0,0,0,67,67,0.43,717622
p0585l00s000305.c,886517,18811,2278,181183,9333,0,0,1,0.51,0,0,0,0,67,67,0.51,823775
p0585l00s000053.c,866203,18123,2276,177457,8997,0,0,0,0.51,0,0,0,0,66,66,0.51,808427
p0585l00s000418.c,878940,17370,1239,180005,8897,0,0,0,0.42,0,0,0,0,69,69,0.42,670716
p0585l00s000399.c,892511,17395,1320,181502,8766,0,0,0,0.43,0,0,0,0,69,69,0.43,667695
p0585l00s000043.c,885698,16985,1242,180310,8743,0,0,0,0.42,0,0,0,0,69,69,0.42,674348
p0585l00s000530.c,878382,18285,2414,179205,8931,0,0,0,0.49,0,0,0,0,68,68,0.49,763280
p0585l00s000450.c,868669,17439,1428,176996,8894,0,0,0,0.40,0,0,0,0,66,66,0.40,643406
p0585l00s000404.c,862785,16930,1559,176273,8806,0,0,0,0.43,0,0,0,0,68,68,0.43,688429
p0585l00s000148.c,875980,17208,2044,179475,8691,0,0,0,0.44,0,0,0,0,68,68,0.44,733983
p0585l00s000206.c,879047,16801,2135,180121,8769,0,0,0,0.44,0,0,0,0,68,68,0.44,698222
p0585l00s000142.c,877160,17906,2386,179504,9001,0,0,0,0.49,0,0,0,0,68,68,0.49,769600
p0585l00s000554.c,858602,16971,2047,175899,8783,0,0,0,0.43,0,0,0,0,67,67,0.43,715129
p0585l00s000165.c,861836,16833,2085,176077,8744,0,0,0,0.43,0,0,0,0,68,68,0.44,712405
p0585l00s000151.c,877086,17056,2094,179707,8773,0,0,0,0.44,0,0,0,0,68,68,0.44,713551
p0585l00s000056.c,862372,17238,1962,176468,8746,0,0,0,0.43,0,0,0,0,66,66,0.43,686856
p0585l00s000362.c,871029,17001,2106,178445,8683,0,0,0,0.43,0,0,0,0,68,68,0.43,683268
p0585l00s000050.c,867582,17367,2372,176601,8736,0,0,0,0.44,0,0,0,0,67,67,0.44,692323
p0585l00s000196.c,886662,17778,2443,180883,8968,0,0,0,0.46,0,0,0,0,69,69,0.46,712447
p0585l00s000356.c,871776,17355,1290,177757,8815,0,0,0,0.42,0,0,0,0,67,67,0.42,705001
p0585l00s000023.c,895600,17705,2170,182328,8963,0,0,0,0.45,0,0,0,0,69,69,0.45,711561
p0585l00s000081.c,864464,18570,2115,177034,9022,0,0,0,0.47,0,0,0,0,67,67,0.47,757856
p0585l00s000103.c,868950,16943,2471,177999,8642,0,0,0,0.45,0,0,0,0,68,68,0.45,730211
p0585l00s000545.c,866853,17201,2149,177666,8758,0,0,0,0.44,0,0,0,0,68,68,0.44,722374
p0585l00s000071.c,886015,18362,2351,179683,9046,0,0,0,0.46,0,0,0,0,67,67,0.46,720688
p0585l00s000024.c,876684,17171,1661,178582,8776,0,0,0,0.43,0,0,0,0,67,67,0.43,677390
p0585l00s000178.c,878196,17002,2087,179425,8681,0,0,0,0.43,0,0,0,0,68,68,0.43,737598
p0585l00s000528.c,866392,17067,1980,177553,8842,0,0,0,0.43,0,0,0,0,68,68,0.43,716545
p0585l00s000304.c,875760,16787,2034,178965,8706,0,0,0,0.43,0,0,0,0,68,68,0.43,683089
p0585l00s000352.c,873823,16799,2071,179014,8696,0,0,0,0.45,0,0,0,0,68,68,0.45,728427
p0585l00s000387.c,878126,17323,1363,178753,8750,0,0,0,0.42,0,0,0,0,67,67,0.42,669282
p0585l00s000102.c,865904,17052,2068,177554,8815,0,0,0,0.44,0,0,0,0,68,68,0.44,718657
p0585l00s000576.c,882854,16978,2077,180467,8793,0,0,0,0.44,0,0,0,0,70,70,0.44,726125
p0585l00s000120.c,868791,17306,2052,178116,8928,0,0,0,0.43,0,0,0,0,68,68,0.43,688027
p0585l00s000410.c,872751,18703,2420,178363,9272,0,0,1,0.49,0,0,0,0,66,66,0.49,757664
p0585l00s000169.c,892620,17555,1557,181829,8847,0,0,0,0.41,0,0,0,0,68,68,0.41,651749
p0585l00s000144.c,875246,17072,2027,179476,8808,0,0,0,0.44,0,0,0,0,68,68,0.44,683881
p0585l00s000198.c,858837,17067,2123,176051,8795,0,0,0,0.43,0,0,0,0,66,66,0.43,715401
p0585l00s000501.c,864507,17163,2075,177221,8795,0,0,0,0.43,0,0,0,0,68,68,0.43,727297
p0585l00s000455.c,877697,17087,2349,179769,8734,0,0,0,0.44,0,0,0,0,69,69,0.44,717157
p0585l00s000523.c,865127,16828,2183,177136,8732,0,0,0,0.43,0,0,0,0,68,68,0.43,681679
p0585l00s000116.c,858720,17008,1599,175805,8770,0,0,0,0.42,0,0,0,0,67,67,0.43,683602
p0585l00s000330.c,885107,18111,2435,181224,9022,0,0,0,0.49,0,0,0,0,68,68,0.49,737066
p0585l00s000230.c,861689,16988,2341,176097,8667,0,0,0,0.43,0,0,0,0,66,66,0.44,714176
p0585l00s000139.c,861836,17176,1784,176563,8720,0,0,0,0.43,0,0,0,0,67,67,0.43,702595
p0585l00s000203.c,878932,17944,1619,179458,9140,0,0,0,0.47,0,0,0,0,69,69,0.47,715300
p0585l00s000535.c,878596,17157,2109,179984,8935,0,0,0,0.44,0,0,0,0,69,69,0.44,730273
p0585l00s000061.c,881798,17729,1302,179551,8814,0,0,0,0.43,0,0,0,0,68,68,0.43,702216
p0585l00s000452.c,878373,16984,2111,179444,8819,0,0,0,0.45,0,0,0,0,68,68,0.45,734522
p0585l00s000280.c,860158,17141,2109,176095,8719,0,0,0,0.43,0,0,0,0,68,68,0.43,705406
p0585l00s000242.c,876488,16891,2086,179055,8701,0,0,0,0.44,0,0,0,0,68,68,0.44,718267
p0585l00s000258.c,863565,17149,2041,176910,8710,0,0,0,0.44,0,0,0,0,68,68,0.44,705175
p0585l00s000232.c,884449,18355,2305,180141,9125,0,0,0,0.49,0,0,0,0,67,67,0.49,744821
p0585l00s000157.c,875974,17056,2075,179534,8727,0,0,0,0.44,0,0,0,0,69,69,0.44,736161
p0585l00s000076.c,868701,17135,1822,177818,8708,0,0,0,0.41,0,0,0,0,68,68,0.41,661013
p0585l00s000250.c,871686,17202,2093,178542,8737,0,0,0,0.44,0,0,0,0,69,69,0.44,714730
p0585l00s000238.c,876428,16891,2146,179503,8754,0,0,0,0.44,0,0,0,0,69,69,0.44,715795
p0585l00s000241.c,873593,17636,1906,178775,8900,0,0,0,0.43,0,0,0,0,68,68,0.43,669996
p0585l00s000054.c,871665,16912,2166,177988,8766,0,0,0,0.44,0,0,0,0,68,68,0.44,713185
p0585l00s000286.c,875340,16815,2095,178913,8978,0,0,0,0.45,0,0,0,0,68,68,0.45,731731
p0585l00s000348.c,863908,17719,2143,176895,8989,0,0,0,0.45,0,0,0,0,67,67,0.45,703621
p0585l00s000462.c,892936,17165,2196,181662,8851,0,0,0,0.45,0,0,0,0,69,69,0.45,741293
p0585l00s000030.c,871751,18486,2209,178622,9131,0,0,1,0.47,0,0,0,0,67,67,0.47,775341
p0585l00s000137.c,874742,16878,2103,179283,8625,0,0,0,0.44,0,0,0,0,69,69,0.44,710150
p0585l00s000506.c,861761,17165,2110,176483,8829,0,0,0,0.44,0,0,0,0,67,67,0.44,696943
p0585l00s000519.c,895373,17337,2190,182203,8846,0,0,0,0.45,0,0,0,0,69,69,0.45,734437
p0585l00s000181.c,886199,17170,2322,180633,8774,0,0,0,0.45,0,0,0,0,69,69,0.45,691599
p0585l00s000285.c,884237,17097,1599,180760,8830,0,0,0,0.40,0,0,0,0,69,69,0.40,646811
p0585l00s000297.c,875888,17274,2166,179344,8762,0,0,0,0.44,0,0,0,0,69,69,0.44,723164
p0585l00s000134.c,903793,18569,2505,184674,9325,0,0,1,0.51,0,0,0,0,70,70,0.51,767056
p0585l00s000145.c,873851,18542,2552,178042,8929,0,0,0,0.46,0,0,0,0,66,66,0.46,741136
p0585l00s000298.c,860735,17232,2389,176439,8948,0,0,0,0.45,0,0,0,0,67,67,0.45,726711
p0585l00s000393.c,888965,17267,2138,181606,8781,0,0,0,0.44,0,0,0,0,70,70,0.44,721159
p0585l00s000131.c,877608,16936,2398,179925,8744,0,0,0,0.44,0,0,0,0,68,68,0.44,724206
p0585l00s000544.c,865227,17160,1678,177338,8792,0,0,0,0.41,0,0,0,0,68,68,0.41,670608
p0585l00s000565.c,858202,17251,2129,175815,8844,0,0,0,0.45,0,0,0,0,66,66,0.45,723899
p0585l00s000438.c,882583,17646,1009,180733,9021,0,0,0,0.42,0,0,0,0,68,68,0.42,612921
p0585l00s000095.c,874799,16971,993,179377,8815,0,0,0,0.41,0,0,0,0,69,69,0.41,611838
p0585l00s000345.c,863037,16905,2088,176828,8859,0,0,0,0.41,0,0,0,0,68,68,0.41,713529
p0585l00s000211.c,869082,17980,2145,177921,9020,0,0,0,0.45,0,0,0,0,68,68,0.45,696731
p0585l00s000273.c,893753,18282,2385,183232,9087,0,0,1,0.47,0,0,0,0,68,68,0.47,729673
