Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0003l00s000600.c,894106,17259,2240,183219,8904,0,0,0,0.45,0,0,0,0,69,69,0.45,744409
p0003l00s001378.c,892396,17205,2247,182926,8871,0,0,0,0.44,0,0,0,0,68,68,0.45,717824
p0003l00s000559.c,881859,17259,2209,180300,8928,0,0,0,0.45,0,0,0,0,69,69,0.45,739268
p0003l00s001356.c,880059,17527,2235,179886,8986,0,0,0,0.44,0,0,0,0,67,67,0.44,682732
p0003l00s001852.c,901251,17453,2383,184653,8941,0,0,0,0.46,0,0,0,0,71,71,0.46,750160
p0003l00s000518.c,890848,17697,2430,182154,8867,0,0,0,0.46,0,0,0,0,70,70,0.46,744423
p0003l00s001036.c,884793,17418,1591,180362,8931,0,0,0,0.43,0,0,0,0,67,67,0.43,672163
p0003l00s000281.c,885979,17168,2169,181700,8873,0,0,0,0.45,0,0,0,0,69,69,0.45,730292
p0003l00s000521.c,889969,17200,2258,182346,8896,0,0,0,0.45,0,0,0,0,68,68,0.45,738868
p0003l00s001215.c,881747,17411,2291,180141,9061,0,0,0,0.45,0,0,0,0,68,68,0.45,752347
p0003l00s001864.c,894220,17078,2346,183193,8883,0,0,0,0.43,0,0,0,0,69,69,0.43,718238
p0003l00s000243.c,899597,17319,2386,183783,8911,0,0,0,0.46,0,0,0,0,69,69,0.47,746374
p0003l00s000782.c,889243,17194,1627,182157,8953,0,0,0,0.44,0,0,0,0,68,68,0.44,671697
p0003l00s000555.c,877312,17497,2229,179787,9016,0,0,0,0.45,0,0,0,0,67,67,0.45,735814
p0003l00s000611.c,884766,17080,2108,181357,8807,0,0,0,0.44,0,0,0,0,68,68,0.44,685791
p0003l00s000593.c,890763,17106,1584,182491,8995,0,0,0,0.44,0,0,0,0,69,69,0.44,718817
p0003l00s001544.c,899919,18537,2507,183751,9156,0,0,0,0.51,0,0,0,0,69,69,0.51,749697
p0003l00s000161.c,878048,17035,1258,179745,8828,0,0,0,0.42,0,0,0,0,69,69,0.42,654598
p0003l00s000055.c,877243,17312,2281,179206,8921,0,0,0,0.45,0,0,0,0,67,67,0.45,732651
p0003l00s000854.c,888910,17167,2543,182340,8810,0,0,0,0.46,0,0,0,0,68,68,0.46,758902
p0003l00s000631.c,902658,17264,2253,184368,9055,0,0,0,0.46,0,0,0,0,69,69,0.46,738798
p0003l00s000619.c,884454,17187,2185,181225,8984,0,0,0,0.44,0,0,0,0,69,69,0.44,742889
p0003l00s000984.c,894702,17345,2344,183152,8906,0,0,0,0.44,0,0,0,0,69,69,0.44,679667
p0003l00s001109.c,866347,16890,2054,177593,8750,0,0,0,0.44,0,0,0,0,67,67,0.44,716445
p0003l00s001618.c,908928,17802,2031,184978,8989,0,0,0,0.45,0,0,0,0,68,68,0.45,723021
p0003l00s001722.c,880486,17001,2115,179945,8889,0,0,0,0.45,0,0,0,0,68,68,0.45,728053
p0003l00s001619.c,896461,17738,1559,182532,8900,0,0,0,0.43,0,0,0,0,68,68,0.43,714264
p0003l00s000668.c,873980,17168,2300,179058,8908,0,0,0,0.44,0,0,0,0,67,67,0.44,717347
p0003l00s001361.c,890354,17146,2265,182403,9004,0,0,0,0.45,0,0,0,0,68,68,0.45,704269
p0003l00s001368.c,889660,17284,2217,181809,8884,0,0,0,0.45,0,0,0,0,68,68,0.45,731118
p0003l00s000577.c,890526,17292,2360,182441,8916,0,0,0,0.45,0,0,0,0,69,69,0.45,740440
