Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0283l00s000332.c,969428,17383,2188,208088,16556,0,0,0,0.51,0,0,0,0,66,66,0.51,786193
p0283l00s000540.c,983169,17881,1900,210982,16720,0,0,0,0.53,0,0,0,0,68,68,0.53,771749
p0283l00s000327.c,961028,16486,2054,207070,16187,0,0,0,0.50,0,0,0,0,65,65,0.50,782000
p0283l00s000053.c,865730,17008,1855,177315,8980,0,0,0,0.43,0,0,0,0,67,67,0.43,690210
p0283l00s000205.c,968082,16945,1949,208674,16207,0,0,0,0.50,0,0,0,0,67,67,0.50,773214
p0283l00s000026.c,893852,16923,2345,186684,9763,0,0,0,0.46,0,0,0,0,67,67,0.46,744333
p0283l00s000502.c,971977,17017,2096,209653,16397,0,0,0,0.51,0,0,0,0,68,68,0.51,796944
p0283l00s000334.c,27206407,17008,1997,6634916,42337,0,0,0,3.44,0,0,0,0,68,68,3.44,3714291
p0283l00s000102.c,974169,16832,2007,208606,16277,0,0,0,0.50,0,0,0,0,67,67,0.50,791518
p0283l00s000107.c,859474,17205,2006,175293,9120,0,0,0,0.43,0,0,0,0,66,66,0.43,712730
p0283l00s000211.c,978433,17495,1990,209864,16359,0,0,0,0.50,0,0,0,0,66,66,0.50,745566
p0283l00s000407.c,862885,16905,2001,177040,8940,0,0,0,0.43,0,0,0,0,67,67,0.43,679312
p0283l00s000049.c,974857,17078,2032,208930,16541,0,0,0,0.49,0,0,0,0,66,66,0.49,769352
p0283l00s000039.c,876631,17823,1881,178547,9039,0,0,0,0.48,0,0,0,0,66,66,0.48,730153
p0283l00s000259.c,962403,16991,1949,207302,16296,0,0,0,0.49,0,0,0,0,66,66,0.49,764415
p0283l00s000150.c,977118,17017,2475,210455,16524,0,0,0,0.51,0,0,0,0,66,66,0.51,802494
p0283l00s000392.c,905683,17007,2481,189068,9501,0,0,0,0.46,0,0,0,0,67,67,0.46,735639
p0283l00s000574.c,978464,16949,2367,210700,16236,0,0,0,0.49,0,0,0,0,67,67,0.49,748946
p0283l00s000023.c,954396,16626,1981,205708,15884,0,0,0,0.49,0,0,0,0,66,66,0.49,742211
p0283l00s000450.c,965419,17078,1838,208290,16208,0,0,0,0.49,0,0,0,0,66,66,0.49,771838
p0283l00s000463.c,985074,17359,1850,212378,16217,0,0,0,0.54,0,0,0,0,68,68,0.54,812834
p0283l00s000164.c,1342072,21398,3620,294618,18880,0,0,0,0.62,0,0,0,0,114,114,0.62,896167
p0283l00s000140.c,965511,16787,2061,207761,16351,0,0,0,0.50,0,0,0,0,66,66,0.50,778129
p0283l00s000393.c,968370,16900,2134,208101,16104,0,0,0,0.49,0,0,0,0,65,65,0.49,792544
p0283l00s000380.c,972987,16864,2118,209109,16305,0,0,0,0.50,0,0,0,0,66,66,0.50,779604
p0283l00s000481.c,988449,17014,2397,212672,16343,0,0,0,0.50,0,0,0,0,69,69,0.50,759814
p0283l00s000015.c,974296,16802,2078,209297,16250,0,0,0,0.49,0,0,0,0,67,67,0.49,737618
p0283l00s000551.c,970116,16811,2107,208936,16310,0,0,0,0.50,0,0,0,0,66,66,0.50,781164
p0283l00s000331.c,903124,17659,2562,184743,9163,0,0,0,0.50,0,0,0,0,68,68,0.50,751984
p0283l00s000302.c,963782,16677,2298,207254,16196,0,0,0,0.51,0,0,0,0,67,67,0.51,789635
p0283l00s000306.c,985702,17645,2134,212119,16573,0,0,0,0.54,0,0,0,0,67,67,0.54,797472
p0283l00s000260.c,986403,18168,2580,211348,16537,0,0,0,0.55,0,0,0,0,66,66,0.55,851252
p0283l00s000317.c,982904,16802,2492,211587,16296,0,0,0,0.52,0,0,0,0,68,68,0.52,799181
p0283l00s000511.c,981891,17145,2042,209575,16311,0,0,0,0.50,0,0,0,0,66,66,0.50,766984
p0283l00s000435.c,1022093,17111,1989,218059,16599,0,0,0,0.50,0,0,0,0,68,68,0.50,748110
p0283l00s000452.c,970638,16915,1992,208696,16318,0,0,0,0.49,0,0,0,0,66,66,0.49,766800
