Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0379l00s000009.c,893405,17173,2278,182404,8924,0,0,0,0.45,0,0,0,0,71,71,0.45,703369
p0379l00s000500.c,878228,17248,2344,179777,8876,0,0,0,0.44,0,0,0,0,69,69,0.44,730618
p0379l00s000775.c,906042,18195,1630,184697,9103,0,0,0,0.46,0,0,0,0,71,71,0.46,739668
p0379l00s000697.c,896590,17394,2346,181789,9014,0,0,0,0.45,0,0,0,0,70,70,0.45,744592
p0379l00s000738.c,880886,17446,2280,180169,8820,0,0,0,0.44,0,0,0,0,70,70,0.44,687507
p0379l00s000469.c,911554,17834,2759,185951,8848,0,0,0,0.46,0,0,0,0,78,78,0.46,739266
p0379l00s000039.c,876321,17083,1348,179415,8737,0,0,0,0.42,0,0,0,0,69,69,0.42,658138
p0379l00s000117.c,886423,16909,2192,181667,8853,0,0,0,0.43,0,0,0,0,69,69,0.43,686164
p0379l00s000025.c,882155,17131,2315,180097,8925,0,0,0,0.44,0,0,0,0,69,69,0.44,750444
p0379l00s000483.c,898011,17768,3015,183166,8846,0,0,0,0.46,0,0,0,0,76,76,0.46,754413
p0379l00s001005.c,895892,16939,1115,183205,8917,0,0,0,0.41,0,0,0,0,69,69,0.41,656435
p0379l00s000943.c,891422,17094,1317,182122,8783,0,0,0,0.42,0,0,0,0,72,72,0.42,653279
p0379l00s000315.c,891137,17295,2507,182406,8825,0,0,0,0.45,0,0,0,0,71,71,0.45,733099
p0379l00s000620.c,912429,17482,2358,185725,8950,0,0,0,0.45,0,0,0,0,71,71,0.45,706174
p0379l00s000670.c,898357,18755,2665,183445,9387,0,0,1,0.49,0,0,0,0,69,69,0.50,760060
p0379l00s000640.c,902212,17410,2677,184719,8924,0,0,0,0.47,0,0,0,0,72,72,0.48,751641
p0379l00s000773.c,915964,18322,2954,185695,8872,0,0,0,0.47,0,0,0,0,76,76,0.47,765426
p0379l00s000632.c,904892,17415,2422,185097,8932,0,0,0,0.45,0,0,0,0,73,73,0.45,745723
p0379l00s000424.c,875446,17121,2557,179306,8991,0,0,0,0.45,0,0,0,0,68,68,0.45,735938
p0379l00s000346.c,874431,17299,2236,178989,8818,0,0,0,0.44,0,0,0,0,68,68,0.44,726837
p0379l00s000282.c,918020,17612,2417,187548,8993,0,0,0,0.46,0,0,0,0,73,73,0.46,748117
p0379l00s000529.c,873011,17053,2131,179015,8776,0,0,0,0.44,0,0,0,0,67,67,0.44,721289
p0379l00s001021.c,925026,18118,2804,188693,8843,0,0,0,0.46,0,0,0,0,79,79,0.46,753657
p0379l00s000422.c,899531,17385,2464,182847,8928,0,0,0,0.45,0,0,0,0,71,71,0.45,730876
p0379l00s000508.c,879738,17250,2244,180142,8914,0,0,0,0.44,0,0,0,0,69,69,0.44,720362
p0379l00s000290.c,878692,17163,2319,179308,8808,0,0,0,0.44,0,0,0,0,69,69,0.44,725806
p0379l00s000331.c,883556,17359,2153,179832,8688,0,0,0,0.43,0,0,0,0,67,67,0.43,691757
p0379l00s000256.c,4254680,88495,52994,764796,10922,0,0,0,2.67,0,0,0,0,1044,1044,2.67,2945467
p0379l00s000128.c,897702,17162,2193,183879,8839,0,0,0,0.44,0,0,0,0,70,70,0.44,750223
p0379l00s000850.c,918444,17380,2438,187659,9133,0,0,0,0.47,0,0,0,0,72,72,0.47,760307
p0379l00s000182.c,907368,18781,2876,184768,9079,0,0,0,0.49,0,0,0,0,76,76,0.49,806179
p0379l00s000126.c,892540,17998,2719,182497,9018,0,0,0,0.47,0,0,0,0,70,70,0.47,724577
p0379l00s000476.c,901984,17384,2297,183498,8938,0,0,0,0.45,0,0,0,0,71,71,0.45,742303
p0379l00s000063.c,891644,17091,2541,182525,8774,0,0,0,0.44,0,0,0,0,71,71,0.44,734462
p0379l00s000857.c,870139,17095,1998,178189,8745,0,0,0,0.43,0,0,0,0,68,68,0.43,682562
p0379l00s000324.c,896450,17359,2256,183421,8932,0,0,0,0.45,0,0,0,0,73,73,0.45,703667
p0379l00s000261.c,4247112,88337,29703,760701,10634,0,0,0,2.31,0,0,0,0,1044,1044,2.31,2595665
p0379l00s000880.c,876986,17325,1620,179604,8813,0,0,0,0.40,0,0,0,0,68,68,0.40,638857
p0379l00s000900.c,888333,17360,2311,180622,8818,0,0,0,0.45,0,0,0,0,68,68,0.45,714447
p0379l00s000273.c,910495,17980,2750,185156,8984,0,0,0,0.47,0,0,0,0,78,78,0.47,749799
p0379l00s000381.c,881097,16994,2191,180468,9020,0,0,0,0.44,0,0,0,0,68,68,0.44,720981
p0379l00s000461.c,889411,17023,2401,182283,8809,0,0,0,0.44,0,0,0,0,69,69,0.44,732199
p0379l00s000180.c,890660,18317,2442,182131,9102,0,0,0,0.46,0,0,0,0,72,72,0.46,736619
p0379l00s000729.c,892192,17256,2332,182432,8888,0,0,0,0.43,0,0,0,0,72,72,0.43,713453
p0379l00s000599.c,897091,18467,2802,183325,9055,0,0,0,0.49,0,0,0,0,71,71,0.49,740458
p0379l00s000840.c,899641,17503,2191,183057,8941,0,0,0,0.45,0,0,0,0,69,69,0.45,715624
p0379l00s000777.c,902979,17588,2486,184605,8992,0,0,0,0.46,0,0,0,0,72,72,0.46,732488
p0379l00s000064.c,877424,17146,2207,179630,8795,0,0,0,0.44,0,0,0,0,68,68,0.44,722497
p0379l00s000769.c,924912,18967,2730,188665,9037,0,0,0,0.51,0,0,0,0,78,78,0.51,795082
p0379l00s000547.c,874897,16610,2045,179325,8776,0,0,0,0.43,0,0,0,0,68,68,0.43,721741
p0379l00s000086.c,896696,17659,2198,181914,9097,0,0,0,0.45,0,0,0,0,68,68,0.45,740438
p0379l00s000875.c,876584,17218,1288,179325,8922,0,0,0,0.42,0,0,0,0,69,69,0.42,658323
p0379l00s000706.c,877065,17124,2194,179045,8889,0,0,0,0.44,0,0,0,0,68,68,0.44,725361
p0379l00s000477.c,905674,17557,2164,184647,8957,0,0,0,0.45,0,0,0,0,71,71,0.45,726735
p0379l00s000966.c,882657,17351,2268,180599,8903,0,0,0,0.44,0,0,0,0,70,70,0.44,724729
p0379l00s000393.c,912588,17622,2276,185088,8873,0,0,0,0.45,0,0,0,0,71,71,0.45,751769
p0379l00s000002.c,891292,17320,1816,182702,8838,0,0,0,0.44,0,0,0,0,68,68,0.44,714942
p0379l00s000804.c,906153,17887,2234,184347,8980,0,0,0,0.45,0,0,0,0,77,77,0.45,724121
p0379l00s000643.c,881357,17010,2191,180581,8845,0,0,0,0.44,0,0,0,0,69,69,0.44,711852
p0379l00s000421.c,884582,16846,2022,181344,8816,0,0,0,0.43,0,0,0,0,69,69,0.43,724242
p0379l00s000140.c,914078,17090,2147,187063,8976,0,0,0,0.45,0,0,0,0,73,73,0.45,731072
p0379l00s000026.c,901823,17878,2786,183813,9041,0,0,0,0.46,0,0,0,0,76,76,0.46,749699
p0379l00s000690.c,872574,16934,1692,178233,8883,0,0,0,0.43,0,0,0,0,68,68,0.43,688341
p0379l00s000993.c,877189,17406,2232,179412,8865,0,0,0,0.45,0,0,0,0,69,69,0.45,729544
p0379l00s000289.c,906434,17514,1331,185077,8940,0,0,0,0.42,0,0,0,0,72,72,0.42,615394
p0379l00s000264.c,910477,18793,2868,185461,8974,0,0,0,0.47,0,0,0,0,77,77,0.47,782441
p0379l00s000886.c,924164,18042,2479,187800,8938,0,0,0,0.45,0,0,0,0,73,73,0.45,711113
p0379l00s000650.c,883187,17156,2194,180683,8900,0,0,0,0.44,0,0,0,0,70,70,0.44,734414
p0379l00s000629.c,892292,16831,1853,183071,8769,0,0,0,0.42,0,0,0,0,69,69,0.42,678300
p0379l00s000928.c,883392,17393,1635,180550,8999,0,0,0,0.44,0,0,0,0,69,69,0.44,724549
p0379l00s000096.c,918003,17626,2710,187755,8854,0,0,0,0.47,0,0,0,0,76,76,0.47,750693
p0379l00s000828.c,902607,18157,2709,184647,9017,0,0,0,0.50,0,0,0,0,71,71,0.50,773500
p0379l00s000990.c,887135,17487,2385,180714,9069,0,0,0,0.45,0,0,0,0,70,70,0.45,743391
p0379l00s000200.c,890185,16922,1139,182586,8839,0,0,0,0.41,0,0,0,0,69,69,0.41,653297
p0379l00s000708.c,926119,18665,3114,188675,9106,0,0,0,0.50,0,0,0,0,78,78,0.50,752100
p0379l00s000459.c,885845,18348,2737,181016,9054,0,0,0,0.48,0,0,0,0,70,70,0.48,738177
p0379l00s000766.c,886235,17322,2190,180389,8840,0,0,0,0.44,0,0,0,0,68,68,0.45,743541
p0379l00s000956.c,902833,17272,2397,184366,8898,0,0,0,0.45,0,0,0,0,71,71,0.45,733042
p0379l00s000262.c,908810,18855,2950,185008,9061,0,0,0,0.48,0,0,0,0,77,77,0.48,744092
p0379l00s000379.c,889983,17136,2327,180892,8761,0,0,0,0.45,0,0,0,0,69,69,0.45,739843
p0379l00s001018.c,926293,18022,2584,188647,8752,0,0,0,0.46,0,0,0,0,78,78,0.46,750967
p0379l00s000007.c,884488,17110,2537,181173,8741,0,0,0,0.44,0,0,0,0,69,69,0.44,699686
p0379l00s000588.c,921584,17965,2689,187924,8832,0,0,0,0.46,0,0,0,0,78,78,0.46,748698
p0379l00s000391.c,877202,17114,2238,179771,9054,0,0,0,0.43,0,0,0,0,69,69,0.43,718421
p0379l00s000740.c,904645,17283,2474,185029,8873,0,0,0,0.45,0,0,0,0,73,73,0.45,697226
p0379l00s000014.c,888380,16972,2087,181943,8896,0,0,0,0.42,0,0,0,0,68,68,0.42,708005
p0379l00s000112.c,881903,17066,2254,180553,8743,0,0,0,0.44,0,0,0,0,69,69,0.44,708740
p0379l00s000952.c,908794,17707,1242,185441,9175,0,0,0,0.44,0,0,0,0,72,72,0.44,669448
p0379l00s000732.c,898084,17835,1960,183745,8971,0,0,0,0.45,0,0,0,0,70,70,0.45,689721
p0379l00s000739.c,926232,17861,2800,188337,8861,0,0,0,0.47,0,0,0,0,78,78,0.47,746945
p0379l00s000098.c,874169,17143,2289,178918,8815,0,0,0,0.44,0,0,0,0,68,68,0.44,714649
p0379l00s000955.c,900254,17713,2324,182584,8928,0,0,0,0.45,0,0,0,0,70,70,0.45,730310
p0379l00s000485.c,871537,17210,2140,178644,8829,0,0,0,0.44,0,0,0,0,67,67,0.44,721468
p0379l00s000101.c,890109,16963,2104,182465,8743,0,0,0,0.44,0,0,0,0,68,68,0.44,731689
p0379l00s000927.c,872091,17301,2176,178595,8943,0,0,0,0.44,0,0,0,0,69,69,0.44,724972
p0379l00s000092.c,904337,18372,1966,184982,9186,0,0,0,0.45,0,0,0,0,69,69,0.45,792224
p0379l00s000227.c,903809,17658,2345,183342,8876,0,0,0,0.45,0,0,0,0,70,70,0.45,741536
p0379l00s000015.c,879675,17385,2611,180059,8857,0,0,0,0.46,0,0,0,0,69,69,0.46,739481
p0379l00s000841.c,877486,17263,2678,179517,8805,0,0,0,0.45,0,0,0,0,69,69,0.45,744593
p0379l00s000291.c,883956,17416,2637,179942,8810,0,0,0,0.47,0,0,0,0,66,66,0.47,765208
p0379l00s000147.c,918444,17825,2417,186459,8867,0,0,0,0.46,0,0,0,0,73,73,0.46,750095
p0379l00s000945.c,918739,17676,2427,187085,8964,0,0,0,0.46,0,0,0,0,72,72,0.46,748175
p0379l00s001035.c,891604,17440,2375,182389,8957,0,0,0,0.45,0,0,0,0,72,72,0.45,729516
p0379l00s001028.c,879109,17248,2297,179938,9025,0,0,0,0.44,0,0,0,0,69,69,0.44,693277
p0379l00s000443.c,886149,17214,2326,181313,8789,0,0,0,0.44,0,0,0,0,71,71,0.45,731527
p0379l00s000122.c,908268,18482,2573,186347,8974,0,0,0,0.52,0,0,0,0,70,70,0.52,877509
p0379l00s000972.c,895098,18280,2235,182073,9077,0,0,0,0.45,0,0,0,0,68,68,0.45,700983
p0379l00s000890.c,879605,17280,2284,180055,8802,0,0,0,0.44,0,0,0,0,69,69,0.44,735736
p0379l00s000776.c,877723,17177,2278,179570,8839,0,0,0,0.44,0,0,0,0,69,69,0.44,692547
p0379l00s000398.c,4277072,88602,53245,768176,10885,0,0,0,2.66,0,0,0,0,1047,1047,2.66,2943197
p0379l00s000974.c,893331,17234,2231,182861,8837,0,0,0,0.45,0,0,0,0,71,71,0.45,737384
