Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0572l00s000215.c,863576,16813,2422,176390,8862,0,0,0,0.45,0,0,0,0,68,68,0.45,730352
p0572l00s000251.c,880645,17628,2233,178820,8846,0,0,0,0.44,0,0,0,0,66,66,0.44,732436
p0572l00s000698.c,865304,17190,2064,176596,8825,0,0,0,0.44,0,0,0,0,68,68,0.44,713445
p0572l00s000736.c,866197,17081,1960,177422,8914,0,0,0,0.44,0,0,0,0,67,67,0.44,731277
p0572l00s000580.c,883885,17199,2096,180528,8733,0,0,0,0.44,0,0,0,0,68,68,0.44,743352
p0572l00s000956.c,861392,16924,2085,175977,8780,0,0,0,0.43,0,0,0,0,67,67,0.43,671847
p0572l00s000938.c,862492,17260,2151,176654,8711,0,0,0,0.44,0,0,0,0,67,67,0.44,724394
p0572l00s000019.c,877850,17211,2104,178671,8652,0,0,0,0.44,0,0,0,0,68,68,0.45,716217
p0572l00s000141.c,873098,17104,1062,177297,8855,0,0,0,0.41,0,0,0,0,66,66,0.41,623692
p0572l00s000950.c,896991,18174,2460,181755,9004,0,0,0,0.46,0,0,0,0,69,69,0.46,726883
p0572l00s000161.c,863812,17108,1888,176639,8716,0,0,0,0.42,0,0,0,0,66,66,0.42,670359
p0572l00s000620.c,876485,17068,2053,179060,8804,0,0,0,0.44,0,0,0,0,68,68,0.44,731632
p0572l00s000646.c,874680,17085,2291,178572,8675,0,0,0,0.45,0,0,0,0,68,68,0.45,699122
p0572l00s000484.c,886294,16807,2027,181144,8656,0,0,0,0.43,0,0,0,0,69,69,0.43,686856
p0572l00s000838.c,879144,17097,2087,179112,9048,0,0,0,0.44,0,0,0,0,69,69,0.44,733102
p0572l00s000320.c,859858,18592,2271,176103,9081,0,0,0,0.49,0,0,0,0,66,66,0.49,787910
p0572l00s000354.c,878280,17106,2235,178341,8720,0,0,0,0.44,0,0,0,0,69,69,0.44,686317
p0572l00s000263.c,860459,16751,2288,175194,8805,0,0,0,0.45,0,0,0,0,66,66,0.45,726716
p0572l00s000088.c,873441,16956,923,178165,8929,0,0,0,0.41,0,0,0,0,67,67,0.42,648009
p0572l00s001079.c,864394,17027,1826,176867,8822,0,0,0,0.43,0,0,0,0,67,67,0.43,677418
p0572l00s000310.c,867186,17108,1111,176189,8913,0,0,0,0.41,0,0,0,0,66,66,0.41,638055
p0572l00s000399.c,862596,17338,2088,176092,8730,0,0,0,0.44,0,0,0,0,67,67,0.44,722564
p0572l00s000039.c,875409,17366,2291,178221,8709,0,0,0,0.44,0,0,0,0,68,68,0.44,690432
p0572l00s001083.c,877733,17162,2049,179303,8786,0,0,0,0.44,0,0,0,0,68,68,0.44,718728
p0572l00s000673.c,868654,16820,1960,177610,8682,0,0,0,0.43,0,0,0,0,69,69,0.43,716775
p0572l00s001022.c,867426,17177,1617,177167,9058,0,0,0,0.42,0,0,0,0,67,67,0.43,714044
p0572l00s000325.c,880777,17035,2210,179920,8705,0,0,0,0.44,0,0,0,0,69,69,0.44,694590
p0572l00s000778.c,870968,17407,2085,177297,8877,0,0,0,0.44,0,0,0,0,67,67,0.44,737355
p0572l00s000524.c,867585,17782,2372,177233,8972,0,0,0,0.47,0,0,0,0,66,66,0.47,757069
p0572l00s000670.c,863854,17084,2383,176976,8673,0,0,0,0.45,0,0,0,0,67,67,0.45,712687
p0572l00s000977.c,892500,18065,2495,182163,9028,0,0,0,0.49,0,0,0,0,69,69,0.50,777071
p0572l00s000129.c,868299,18101,2518,177791,8985,0,0,0,0.49,0,0,0,0,67,67,0.49,798878
p0572l00s000590.c,854312,17020,2400,174995,8662,0,0,0,0.42,0,0,0,0,66,66,0.42,738194
p0572l00s001093.c,872285,18100,2520,178655,8982,0,0,0,0.47,0,0,0,0,69,69,0.47,731721
