Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0495l00s000294.c,1016376,21624,4419,206200,10373,0,0,2,0.55,0,0,0,0,64,65,0.55,191903613
p0495l00s000618.c,848873,16636,2004,173994,8657,0,0,0,0.43,0,0,0,0,66,66,0.44,720695
p0495l00s000032.c,838542,16707,1919,171873,8575,0,0,0,0.43,0,0,0,0,64,64,0.43,711196
p0495l00s000104.c,1030628,22082,4219,208343,10407,0,0,2,0.56,0,0,0,0,65,66,0.55,191828907
p0495l00s000256.c,844484,16875,2127,173017,8719,0,0,0,0.43,0,0,0,0,65,65,0.43,718700
p0495l00s000087.c,884755,17265,2196,180148,8732,0,0,0,0.44,0,0,0,0,68,68,0.44,730432
p0495l00s000030.c,848413,17186,2086,173359,8695,0,0,0,0.43,0,0,0,0,66,66,0.43,706019
p0495l00s000232.c,848960,17906,2317,173718,8855,0,0,0,0.45,0,0,0,0,65,65,0.45,700366
p0495l00s000225.c,828511,16781,2089,169105,8585,0,0,0,0.42,0,0,0,0,63,63,0.42,709086
p0495l00s000158.c,877135,17021,2082,178022,8754,0,0,0,0.44,0,0,0,0,68,68,0.44,733964
p0495l00s000327.c,1022911,21578,4022,207720,10507,0,0,2,0.54,0,0,0,0,65,66,0.54,194694408
p0495l00s000076.c,846742,16835,2179,173412,8556,0,0,0,0.43,0,0,0,0,66,66,0.43,711301
p0495l00s000042.c,880591,17658,2133,180604,8928,0,0,0,0.47,0,0,0,0,69,69,0.47,741258
p0495l00s000383.c,839424,16828,2064,171916,8844,0,0,0,0.43,0,0,0,0,67,67,0.43,719254
p0495l00s000583.c,1010048,21991,3109,205498,10234,0,0,2,0.52,0,0,0,0,64,65,0.52,188760902
p0495l00s000129.c,1017279,21462,4154,206919,10260,0,0,2,0.54,0,0,0,0,66,67,0.54,191152747
p0495l00s000268.c,850197,17115,2218,173453,8719,0,0,0,0.43,0,0,0,0,66,66,0.43,724599
p0495l00s000245.c,843826,16717,2050,172857,8562,0,0,0,0.42,0,0,0,0,65,65,0.42,697154
p0495l00s000140.c,851132,17184,2084,174413,8871,0,0,0,0.43,0,0,0,0,66,66,0.43,716621
p0495l00s000441.c,1028776,21795,4014,208490,10453,0,0,2,0.55,0,0,0,0,65,66,0.55,191507649
p0495l00s000029.c,855072,17264,2309,175167,8760,0,0,0,0.44,0,0,0,0,66,66,0.44,729972
p0495l00s000537.c,1026266,21758,4169,208657,10405,0,0,2,0.55,0,0,0,0,66,67,0.56,193708768
p0495l00s000335.c,1014073,21524,4147,206451,10291,0,0,2,0.55,0,0,0,0,64,65,0.54,193104401
p0495l00s000402.c,1016028,21808,4151,206504,10483,0,0,2,0.54,0,0,0,0,65,66,0.54,191951824
p0495l00s000491.c,854811,16581,2066,174642,8691,0,0,0,0.43,0,0,0,0,67,67,0.43,698143
p0495l00s000474.c,845852,16706,2024,173163,8498,0,0,0,0.43,0,0,0,0,65,65,0.43,712760
p0495l00s000203.c,855822,16681,1907,174838,8680,0,0,0,0.42,0,0,0,0,66,66,0.42,690954
p0495l00s000530.c,876939,17152,1473,178637,8725,0,0,0,0.43,0,0,0,0,68,68,0.43,688993
p0495l00s000422.c,875508,17242,2390,178326,8761,0,0,0,0.47,0,0,0,0,67,67,0.47,754342
p0495l00s000216.c,882262,16845,2160,179516,8651,0,0,0,0.44,0,0,0,0,68,68,0.44,720482
p0495l00s000100.c,850855,16594,2089,174250,8663,0,0,0,0.43,0,0,0,0,67,67,0.43,707311
p0495l00s000456.c,865803,17278,1959,177127,8770,0,0,0,0.43,0,0,0,0,68,68,0.43,705156
p0495l00s000288.c,842942,16720,2042,172704,8742,0,0,0,0.43,0,0,0,0,65,65,0.43,703060
p0495l00s000389.c,893081,18232,2478,181219,8957,0,0,0,0.47,0,0,0,0,68,68,0.48,759339
p0495l00s000317.c,835268,17708,2421,170791,8917,0,0,0,0.47,0,0,0,0,65,65,0.48,751944
p0495l00s000103.c,1022723,21946,4160,206977,10366,0,0,2,0.54,0,0,0,0,65,66,0.54,190746761
p0495l00s000116.c,1003363,21724,3599,204097,10109,0,0,2,0.54,0,0,0,0,64,65,0.54,190870194
p0495l00s000229.c,856873,16998,2056,175407,8816,0,0,0,0.45,0,0,0,0,67,67,0.45,708196
p0495l00s000541.c,865800,17101,2183,176178,8776,0,0,0,0.43,0,0,0,0,66,66,0.43,699101
p0495l00s000246.c,857170,16809,2077,175653,8733,0,0,0,0.43,0,0,0,0,67,67,0.43,717823
p0495l00s000131.c,1020427,22049,4405,207095,10267,0,0,2,0.55,0,0,0,0,64,65,0.55,192128248
p0495l00s000242.c,1021532,21793,4298,207989,10354,0,0,2,0.54,0,0,0,0,64,65,0.54,191681524
p0495l00s000350.c,1070802,24409,4727,216004,10988,0,0,3,0.61,0,0,0,0,65,66,0.61,191159683
p0495l00s000534.c,850184,16945,2287,172634,8723,0,0,0,0.44,0,0,0,0,66,66,0.44,717939
p0495l00s000065.c,850663,16801,2090,173721,8646,0,0,0,0.43,0,0,0,0,66,66,0.43,713974
p0495l00s000222.c,866146,16876,2140,177461,8654,0,0,0,0.43,0,0,0,0,68,68,0.43,720591
p0495l00s000400.c,854007,16966,2084,174491,8767,0,0,0,0.42,0,0,0,0,66,66,0.43,699924
p0495l00s000571.c,1000468,21543,4034,203398,10407,0,0,2,0.54,0,0,0,0,64,65,0.54,190875408
p0495l00s000251.c,861355,16866,2229,176534,8586,0,0,0,0.44,0,0,0,0,67,67,0.44,729326
p0495l00s000560.c,862917,17064,2352,176353,8817,0,0,0,0.44,0,0,0,0,67,67,0.44,723172
p0495l00s000175.c,1052970,22123,3217,211964,10321,0,0,2,0.54,0,0,0,0,66,67,0.54,188573706
p0495l00s000296.c,1009478,21780,4078,205408,10280,0,0,2,0.53,0,0,0,0,64,65,0.53,189988935
p0495l00s000168.c,849675,16886,2144,174104,8722,0,0,0,0.42,0,0,0,0,66,66,0.43,674096
p0495l00s000348.c,851954,16609,2013,174507,8678,0,0,0,0.43,0,0,0,0,67,67,0.43,672143
p0495l00s000009.c,860244,17087,2355,175611,8678,0,0,0,0.44,0,0,0,0,66,66,0.44,718893
p0495l00s000183.c,847230,16972,2026,173023,8760,0,0,0,0.43,0,0,0,0,65,65,0.43,731555
p0495l00s000521.c,1023357,21543,4221,208239,10282,0,0,2,0.56,0,0,0,0,66,67,0.56,189450385
p0495l00s000381.c,854377,17445,2153,174906,8960,0,0,0,0.46,0,0,0,0,66,66,0.46,740422
p0495l00s000005.c,1005634,21869,4089,204472,10327,0,0,2,0.53,0,0,0,0,63,64,0.53,191075261
p0495l00s000427.c,852740,16851,2181,174676,8826,0,0,0,0.44,0,0,0,0,67,67,0.44,716829
p0495l00s000610.c,1013805,21425,3989,206285,10239,0,0,2,0.54,0,0,0,0,65,66,0.54,189486404
p0495l00s000056.c,861795,17080,2097,176519,8680,0,0,0,0.43,0,0,0,0,67,67,0.43,714258
p0495l00s000125.c,852979,17093,1918,173952,8646,0,0,0,0.42,0,0,0,0,66,66,0.42,696273
p0495l00s000013.c,1012793,22011,4198,206053,10282,0,0,2,0.55,0,0,0,0,64,65,0.55,192181023
p0495l00s000151.c,855850,16793,2115,175467,8575,0,0,0,0.43,0,0,0,0,66,66,0.43,674424
p0495l00s000337.c,876340,18204,2185,178166,8880,0,0,0,0.48,0,0,0,0,67,67,0.48,728703
p0495l00s000449.c,994449,21689,4169,201177,10146,0,0,2,0.54,0,0,0,0,63,64,0.54,190157150
p0495l00s000163.c,857140,16942,2173,175555,8714,0,0,0,0.43,0,0,0,0,68,68,0.43,712415
p0495l00s000447.c,863048,16972,2057,176257,8683,0,0,0,0.44,0,0,0,0,67,67,0.44,728006
p0495l00s000496.c,837150,16444,1702,171510,8653,0,0,0,0.41,0,0,0,0,66,66,0.41,649079
p0495l00s000307.c,855420,16934,2124,175233,8607,0,0,0,0.43,0,0,0,0,66,66,0.43,707044
p0495l00s000306.c,850139,17732,2309,174029,8845,0,0,0,0.46,0,0,0,0,65,65,0.46,712115
p0495l00s000590.c,866912,16968,2020,177107,8753,0,0,0,0.43,0,0,0,0,68,68,0.43,702261
p0495l00s000305.c,847271,16956,2063,173545,8724,0,0,0,0.43,0,0,0,0,66,66,0.43,732968
p0495l00s000572.c,870425,17287,2178,177039,8801,0,0,0,0.44,0,0,0,0,67,67,0.44,720439
p0495l00s000153.c,721917,14986,1343,144011,6395,0,0,0,0.39,0,0,0,0,61,61,0.39,627786
p0495l00s000510.c,846949,16808,2146,172951,8527,0,0,0,0.43,0,0,0,0,65,65,0.43,716101
p0495l00s000209.c,1007232,21883,4438,204889,10466,0,0,2,0.57,0,0,0,0,64,65,0.57,190652339
p0495l00s000413.c,879728,19433,2530,179061,9200,0,0,1,0.52,0,0,0,0,66,66,0.52,858438
p0495l00s000623.c,856579,16422,2131,175540,8462,0,0,0,0.42,0,0,0,0,67,67,0.42,683030
p0495l00s000369.c,860081,16746,2113,176210,8619,0,0,0,0.42,0,0,0,0,67,67,0.42,696966
