Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0278l00s000374.c,894167,17355,2487,183277,8912,0,0,0,0.44,0,0,0,0,69,69,0.44,720329
p0278l00s000459.c,891830,16930,2193,182804,8861,0,0,0,0.44,0,0,0,0,71,71,0.45,729181
p0278l00s000188.c,896538,17265,2197,183719,8753,0,0,0,0.44,0,0,0,0,69,69,0.44,688061
p0278l00s000159.c,879544,16932,2364,180268,8815,0,0,0,0.45,0,0,0,0,68,68,0.45,704495
p0278l00s000502.c,877569,17130,2649,179640,8961,0,0,0,0.46,0,0,0,0,70,70,0.46,746033
p0278l00s000661.c,881389,17093,2167,180505,8798,0,0,0,0.44,0,0,0,0,69,69,0.44,708839
p0278l00s000531.c,866808,17010,2230,177650,9037,0,0,0,0.45,0,0,0,0,67,67,0.45,732649
p0278l00s000224.c,895862,17843,2273,183566,9172,0,0,0,0.46,0,0,0,0,68,68,0.46,714557
p0278l00s000527.c,873621,17036,2104,178881,8887,0,0,0,0.44,0,0,0,0,67,67,0.44,716585
p0278l00s000634.c,878432,17177,2375,179952,8908,0,0,0,0.45,0,0,0,0,69,69,0.45,725446
p0278l00s000336.c,890993,17246,1847,182646,8899,0,0,0,0.43,0,0,0,0,69,69,0.43,724601
p0278l00s000166.c,903595,19004,2704,183805,9355,0,0,1,0.49,0,0,0,0,68,68,0.49,768853
p0278l00s000067.c,900995,17475,2564,184570,8898,0,0,0,0.45,0,0,0,0,71,71,0.45,764226
p0278l00s000333.c,906672,17529,2252,185098,9057,0,0,0,0.45,0,0,0,0,71,71,0.45,724148
p0278l00s000295.c,879495,17006,2491,179532,8819,0,0,0,0.45,0,0,0,0,69,69,0.45,735504
p0278l00s000598.c,890379,17358,2313,182226,9053,0,0,0,0.44,0,0,0,0,70,70,0.44,720252
p0278l00s000345.c,874560,17377,2528,178956,8888,0,0,0,0.43,0,0,0,0,68,68,0.43,725191
p0278l00s000222.c,872321,17407,1977,178494,8933,0,0,0,0.43,0,0,0,0,67,67,0.43,709996
p0278l00s000153.c,880021,16769,2160,180243,8876,0,0,0,0.43,0,0,0,0,70,70,0.43,685540
p0278l00s000097.c,883484,16885,1056,180833,8934,0,0,0,0.42,0,0,0,0,70,70,0.42,616147
p0278l00s000243.c,870232,16802,2206,177757,8904,0,0,0,0.46,0,0,0,0,66,66,0.46,736298
p0278l00s000084.c,880265,17035,2120,180501,8818,0,0,0,0.43,0,0,0,0,67,67,0.43,680964
p0278l00s000653.c,903051,17294,2250,183753,8932,0,0,0,0.45,0,0,0,0,69,69,0.45,734604
p0278l00s000132.c,873829,17410,2157,178946,8860,0,0,0,0.44,0,0,0,0,67,67,0.44,721158
p0278l00s000315.c,875293,17281,1596,178829,8925,0,0,0,0.42,0,0,0,0,67,67,0.43,720845
p0278l00s000465.c,866520,16719,2399,177565,8984,0,0,0,0.45,0,0,0,0,66,66,0.45,729028
p0278l00s000503.c,898518,17313,1147,183621,8825,0,0,0,0.43,0,0,0,0,70,70,0.43,671366
p0278l00s000144.c,895906,17361,2095,182932,8891,0,0,0,0.44,0,0,0,0,69,69,0.44,725746
p0278l00s000248.c,890369,17344,2106,180700,8786,0,0,0,0.44,0,0,0,0,68,68,0.44,697559
p0278l00s000410.c,883613,17256,1860,179979,8928,0,0,0,0.44,0,0,0,0,69,69,0.44,681131
p0278l00s000629.c,871324,16846,2194,178375,8837,0,0,0,0.44,0,0,0,0,69,69,0.44,719274
p0278l00s000299.c,869972,17198,2400,178177,8751,0,0,0,0.45,0,0,0,0,66,66,0.45,742616
p0278l00s000587.c,870260,16932,2150,178306,8890,0,0,0,0.44,0,0,0,0,67,67,0.44,719656
p0278l00s000450.c,892549,17265,2224,182729,8925,0,0,0,0.45,0,0,0,0,70,70,0.45,742524
