Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0383l00s000767.c,1019772,20206,2910,205227,8952,0,0,0,0.48,0,0,0,0,107,107,0.48,729341
p0383l00s001288.c,975162,19227,3967,197040,8998,0,0,0,0.51,0,0,0,0,98,98,0.51,798642
p0383l00s000641.c,973714,19407,3673,196444,8953,0,0,0,0.50,0,0,0,0,95,95,0.50,754698
p0383l00s001505.c,893411,17661,2801,182458,8911,0,0,0,0.46,0,0,0,0,73,73,0.46,724313
p0383l00s000459.c,904477,17661,2766,184968,8927,0,0,0,0.47,0,0,0,0,72,72,0.47,746299
p0383l00s001465.c,898100,17143,2233,183897,8984,0,0,0,0.45,0,0,0,0,70,70,0.45,732542
p0383l00s000086.c,1071681,21636,5997,213730,9421,0,0,0,0.59,0,0,0,0,127,127,0.59,868691
p0383l00s000759.c,891945,17633,2046,181931,8919,0,0,0,0.44,0,0,0,0,71,71,0.44,720270
p0383l00s000838.c,965288,19211,3620,193754,9206,0,0,0,0.51,0,0,0,0,89,89,0.51,810987
p0383l00s000852.c,889911,17181,2574,180693,8928,0,0,0,0.44,0,0,0,0,68,68,0.44,694194
p0383l00s000574.c,1093324,21894,5350,217678,9058,0,0,0,0.58,0,0,0,0,129,129,0.58,862414
p0383l00s000625.c,888588,17167,2392,181735,8918,0,0,0,0.45,0,0,0,0,72,72,0.45,722087
p0383l00s001182.c,999443,20638,4449,200737,9170,0,0,0,0.56,0,0,0,0,97,97,0.56,856872
p0383l00s001275.c,901910,17374,2298,184159,9066,0,0,0,0.45,0,0,0,0,72,72,0.46,723295
p0383l00s001168.c,959921,18476,2549,194854,8919,0,0,0,0.47,0,0,0,0,88,88,0.47,737041
p0383l00s000761.c,877668,17175,1401,179453,8870,0,0,0,0.42,0,0,0,0,70,70,0.42,653254
p0383l00s001109.c,895365,17283,2136,183358,8940,0,0,0,0.45,0,0,0,0,70,70,0.45,709188
p0383l00s000928.c,1090493,21837,5917,216956,9377,0,0,0,0.58,0,0,0,0,128,128,0.59,883422
p0383l00s000718.c,880530,17243,2356,180161,8892,0,0,0,0.46,0,0,0,0,67,67,0.47,727246
p0383l00s000122.c,972323,19266,4010,196269,8859,0,0,0,0.51,0,0,0,0,96,96,0.51,793004
