Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0364l00s003501.c,850583,16931,2107,173845,8689,0,0,0,0.43,0,0,0,0,65,65,0.43,708612
p0364l00s002418.c,862234,18223,2015,175550,8938,0,0,0,0.43,0,0,0,0,65,65,0.43,665671
p0364l00s002581.c,843540,16949,2033,172755,8605,0,0,0,0.43,0,0,0,0,65,65,0.43,714142
p0364l00s002634.c,847443,16714,2102,173753,8745,0,0,0,0.43,0,0,0,0,65,65,0.43,715644
p0364l00s000738.c,860277,16836,2120,175865,8678,0,0,0,0.43,0,0,0,0,68,68,0.43,710680
p0364l00s001536.c,850180,16982,2047,173714,8788,0,0,0,0.43,0,0,0,0,66,66,0.43,712194
p0364l00s003420.c,840788,16841,2058,172203,8692,0,0,0,0.42,0,0,0,0,65,65,0.42,699142
p0364l00s002045.c,883317,17397,2220,179657,8764,0,0,0,0.44,0,0,0,0,67,67,0.44,728073
p0364l00s003159.c,854274,17131,2072,173821,8756,0,0,0,0.43,0,0,0,0,66,66,0.43,721604
p0364l00s002215.c,860215,16843,2031,176358,8584,0,0,0,0.43,0,0,0,0,67,67,0.43,711192
p0364l00s000936.c,858792,16657,2019,176146,8739,0,0,0,0.42,0,0,0,0,67,67,0.42,691304
p0364l00s002555.c,838685,16841,2032,171940,8691,0,0,0,0.43,0,0,0,0,65,65,0.43,708459
p0364l00s001190.c,854670,16816,2117,175146,8848,0,0,0,0.41,0,0,0,0,66,66,0.41,742485
p0364l00s001273.c,861294,16890,2058,175997,8673,0,0,0,0.43,0,0,0,0,67,67,0.43,712298
p0364l00s002407.c,884414,17046,2247,179798,8754,0,0,0,0.44,0,0,0,0,67,67,0.44,721376
p0364l00s001905.c,855479,16984,2059,174704,8684,0,0,0,0.43,0,0,0,0,67,67,0.43,718272
p0364l00s003515.c,852215,17001,2172,174559,8836,0,0,0,0.44,0,0,0,0,67,67,0.44,716343
p0364l00s001765.c,847085,16870,2033,173553,8702,0,0,0,0.43,0,0,0,0,65,65,0.43,718494
p0364l00s000746.c,861043,17306,2186,174799,8784,0,0,0,0.43,0,0,0,0,65,65,0.43,726622
p0364l00s000662.c,861588,16894,2197,176094,8631,0,0,0,0.43,0,0,0,0,68,68,0.43,713267
p0364l00s001490.c,898032,18359,2265,181791,8922,0,0,0,0.47,0,0,0,0,68,68,0.47,729401
p0364l00s001027.c,849127,16618,2041,174024,8672,0,0,0,0.43,0,0,0,0,66,66,0.43,706742
p0364l00s002273.c,840351,17078,2083,172226,8716,0,0,0,0.43,0,0,0,0,66,66,0.43,716120
p0364l00s000567.c,855173,16605,2065,175367,8611,0,0,0,0.43,0,0,0,0,66,66,0.43,708180
p0364l00s000970.c,852325,16900,2071,174652,8718,0,0,0,0.43,0,0,0,0,66,66,0.43,713825
p0364l00s000352.c,849098,16685,2093,173507,8945,0,0,0,0.41,0,0,0,0,65,65,0.41,658147
p0364l00s002655.c,843654,17187,2045,172769,8665,0,0,0,0.43,0,0,0,0,65,65,0.43,705604
p0364l00s000906.c,860203,17049,2154,176264,8768,0,0,0,0.45,0,0,0,0,67,67,0.45,730578
p0364l00s003514.c,867971,16765,2024,177473,8644,0,0,0,0.42,0,0,0,0,67,67,0.42,738761
p0364l00s000971.c,871889,16922,1901,178750,8679,0,0,0,0.43,0,0,0,0,68,68,0.43,719308
p0364l00s000136.c,850871,17085,2182,174244,8703,0,0,0,0.43,0,0,0,0,66,66,0.43,724395
p0364l00s003039.c,867009,16717,2050,177881,8669,0,0,0,0.43,0,0,0,0,68,68,0.43,714507
p0364l00s002767.c,863993,16936,1122,176999,8674,0,0,0,0.41,0,0,0,0,68,68,0.41,648897
p0364l00s002178.c,854955,16992,2031,175146,8686,0,0,0,0.43,0,0,0,0,66,66,0.43,725293
p0364l00s000344.c,835556,16584,1592,171271,8576,0,0,0,0.42,0,0,0,0,65,65,0.42,701682
p0364l00s002865.c,846556,16764,2012,173519,8557,0,0,0,0.42,0,0,0,0,65,65,0.42,704746
p0364l00s003402.c,863585,16815,2045,176516,8722,0,0,0,0.43,0,0,0,0,67,67,0.44,721578
p0364l00s000503.c,863346,16879,2079,177013,8580,0,0,0,0.43,0,0,0,0,67,67,0.43,717580
p0364l00s001894.c,847036,16928,2035,173599,8871,0,0,0,0.43,0,0,0,0,65,65,0.43,715546
p0364l00s001465.c,854654,16826,2107,175100,8728,0,0,0,0.43,0,0,0,0,66,66,0.43,724577
p0364l00s001143.c,857488,16844,2027,175242,8712,0,0,0,0.43,0,0,0,0,68,68,0.43,723191
p0364l00s003300.c,871078,16676,2107,178682,8682,0,0,0,0.43,0,0,0,0,67,67,0.44,707460
