Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0571l00s000397.c,884633,17411,2221,180219,9036,0,0,0,0.45,0,0,0,0,68,68,0.45,722697
p0571l00s000701.c,865303,16989,2095,177385,8822,0,0,0,0.44,0,0,0,0,68,68,0.44,715895
p0571l00s000444.c,898810,18671,2223,184309,9220,0,0,1,0.47,0,0,0,0,69,69,0.47,751309
p0571l00s000016.c,860916,17083,2073,175833,8754,0,0,0,0.44,0,0,0,0,67,67,0.44,718745
p0571l00s000123.c,859841,16906,2041,176370,8639,0,0,0,0.43,0,0,0,0,67,67,0.43,712803
p0571l00s000441.c,877565,16759,2039,179823,8692,0,0,0,0.44,0,0,0,0,69,69,0.44,689268
p0571l00s000202.c,879521,16797,2093,180335,8778,0,0,0,0.43,0,0,0,0,69,69,0.43,681744
p0571l00s000066.c,865810,17097,2063,177543,8803,0,0,0,0.43,0,0,0,0,68,68,0.43,727234
p0571l00s000552.c,864320,17012,1033,176738,8781,0,0,0,0.41,0,0,0,0,67,67,0.41,615744
p0571l00s000141.c,896023,17737,2198,182408,8758,0,0,0,0.45,0,0,0,0,69,69,0.45,723633
p0571l00s000599.c,856082,17193,2306,175388,8666,0,0,0,0.43,0,0,0,0,66,66,0.43,672560
p0571l00s000562.c,870808,17028,1040,178469,8771,0,0,0,0.41,0,0,0,0,68,68,0.41,613840
p0571l00s000025.c,883639,18171,2428,180401,9001,0,0,0,0.49,0,0,0,0,69,69,0.49,775408
p0571l00s000314.c,870104,17436,2121,177774,8805,0,0,0,0.44,0,0,0,0,67,67,0.44,735660
p0571l00s000100.c,890309,18562,2443,181195,8993,0,0,0,0.50,0,0,0,0,67,67,0.50,789866
p0571l00s000491.c,868616,17928,2457,177401,8948,0,0,0,0.46,0,0,0,0,67,67,0.46,770097
p0571l00s000151.c,873248,19572,2410,178915,9271,0,0,1,0.50,0,0,0,0,67,67,0.50,798803
p0571l00s000710.c,883154,17430,2190,179851,8721,0,0,0,0.45,0,0,0,0,68,68,0.45,725474
p0571l00s000662.c,892791,17762,2562,181839,8894,0,0,0,0.47,0,0,0,0,68,68,0.47,714786
p0571l00s000139.c,866455,17919,2458,177347,8930,0,0,0,0.49,0,0,0,0,68,68,0.49,744790
p0571l00s000703.c,876243,17993,2381,179560,9003,0,0,0,0.47,0,0,0,0,69,69,0.47,727584
p0571l00s000617.c,858841,16937,2061,176024,8820,0,0,0,0.43,0,0,0,0,66,66,0.43,727113
p0571l00s000543.c,878303,17146,2108,180101,8653,0,0,0,0.43,0,0,0,0,68,68,0.43,707132
p0571l00s000432.c,887245,18043,2307,181820,8950,0,0,0,0.49,0,0,0,0,70,70,0.49,777129
p0571l00s000090.c,865216,18115,2500,177004,9079,0,0,0,0.48,0,0,0,0,68,68,0.48,753606
p0571l00s000448.c,874322,16926,1976,179242,8774,0,0,0,0.43,0,0,0,0,68,68,0.43,694035
p0571l00s000152.c,871075,17084,2087,178399,8938,0,0,0,0.44,0,0,0,0,68,68,0.44,723759
p0571l00s000276.c,866271,17165,1207,177461,8739,0,0,0,0.39,0,0,0,0,68,68,0.39,3337885
p0571l00s000288.c,870968,17033,2043,178497,8711,0,0,0,0.44,0,0,0,0,68,68,0.44,722153
p0571l00s000481.c,872184,17184,2417,178762,8613,0,0,0,0.45,0,0,0,0,68,68,0.45,734626
p0571l00s000344.c,874808,16727,2108,178840,8738,0,0,0,0.43,0,0,0,0,68,68,0.43,708274
p0571l00s000176.c,873373,16835,2144,178914,8620,0,0,0,0.44,0,0,0,0,69,69,0.44,722907
p0571l00s000509.c,865509,16846,2120,177349,8637,0,0,0,0.43,0,0,0,0,68,68,0.43,712807
p0571l00s000652.c,857975,16927,1349,175836,8837,0,0,0,0.41,0,0,0,0,66,66,0.41,640346
p0571l00s000119.c,899582,17435,2161,183200,8807,0,0,0,0.45,0,0,0,0,69,69,0.45,739717
p0571l00s000303.c,854263,16732,2110,175069,8600,0,0,0,0.43,0,0,0,0,66,66,0.43,699450
p0571l00s000144.c,875585,16879,1121,179479,8845,0,0,0,0.42,0,0,0,0,68,68,0.42,659984
p0571l00s000347.c,890184,17157,1106,181268,8833,0,0,0,0.41,0,0,0,0,68,68,0.41,648184
p0571l00s000521.c,866833,17154,2067,177646,8717,0,0,0,0.43,0,0,0,0,69,69,0.43,713805
p0571l00s000036.c,857984,17045,2044,175733,8967,0,0,0,0.43,0,0,0,0,67,67,0.44,718011
p0571l00s000409.c,891092,18427,2103,182823,9213,0,0,1,0.46,0,0,0,0,68,68,0.46,716574
p0571l00s000443.c,861184,17170,2019,176573,8705,0,0,0,0.43,0,0,0,0,67,67,0.43,720408
p0571l00s000079.c,882163,17113,1782,178769,8728,0,0,0,0.43,0,0,0,0,69,69,0.43,664288
p0571l00s000131.c,865744,16971,2171,177456,8812,0,0,0,0.44,0,0,0,0,68,68,0.44,730080
p0571l00s000456.c,893062,17682,2474,182010,8901,0,0,0,0.48,0,0,0,0,68,68,0.48,726343
p0571l00s000607.c,862495,17707,2365,176666,8868,0,0,0,0.46,0,0,0,0,67,67,0.46,718172
p0571l00s000180.c,878181,18267,2145,178521,8904,0,0,0,0.47,0,0,0,0,67,67,0.47,766316
p0571l00s000359.c,864026,17168,1651,176413,8703,0,0,0,0.42,0,0,0,0,67,67,0.42,666070
p0571l00s000679.c,866705,17103,2330,177223,8712,0,0,0,0.45,0,0,0,0,68,68,0.45,731617
p0571l00s000494.c,863376,16949,1731,175806,8649,0,0,0,0.42,0,0,0,0,67,67,0.42,719727
p0571l00s000575.c,859566,17096,1153,175590,9036,0,0,0,0.41,0,0,0,0,67,67,0.41,623605
p0571l00s000062.c,889842,17233,1218,181475,8691,0,0,0,0.42,0,0,0,0,68,68,0.42,612912
p0571l00s000059.c,857214,16825,2121,175722,8755,0,0,0,0.43,0,0,0,0,67,67,0.43,712568
p0571l00s000558.c,868885,17051,1983,178096,8626,0,0,0,0.43,0,0,0,0,67,67,0.44,703816
p0571l00s000145.c,859763,16697,2059,176180,8693,0,0,0,0.43,0,0,0,0,67,67,0.43,721780
p0571l00s000399.c,890065,16876,1208,181442,8734,0,0,0,0.43,0,0,0,0,70,70,0.43,666767
p0571l00s000482.c,863168,17023,2098,176406,8743,0,0,0,0.43,0,0,0,0,67,67,0.44,709576
p0571l00s000623.c,894807,17277,2228,182546,8851,0,0,0,0.45,0,0,0,0,68,68,0.45,726236
p0571l00s000273.c,861775,16770,2026,176670,8632,0,0,0,0.43,0,0,0,0,68,68,0.43,707852
p0571l00s000619.c,861770,17143,2042,176688,8659,0,0,0,0.43,0,0,0,0,67,67,0.43,716649
p0571l00s000560.c,867431,16960,2045,177774,8698,0,0,0,0.43,0,0,0,0,67,67,0.43,715846
p0571l00s000542.c,886030,17332,2221,180676,8718,0,0,0,0.45,0,0,0,0,68,68,0.45,732979
p0571l00s000308.c,864049,17941,2351,176874,8970,0,0,0,0.48,0,0,0,0,67,67,0.48,748185
p0571l00s000063.c,875926,17316,2150,178426,8940,0,0,0,0.44,0,0,0,0,67,67,0.44,739992
p0571l00s000695.c,871471,17256,2155,177560,8788,0,0,0,0.44,0,0,0,0,67,67,0.44,728248
p0571l00s000234.c,871335,16936,1031,178157,8759,0,0,0,0.41,0,0,0,0,67,67,0.41,649699
p0571l00s000209.c,898077,18666,2469,184171,9204,0,0,1,0.49,0,0,0,0,69,69,0.49,808229
p0571l00s000388.c,861127,17252,1926,176341,8738,0,0,0,0.43,0,0,0,0,67,67,0.43,722450
p0571l00s000486.c,881536,17120,1946,180780,8771,0,0,0,0.44,0,0,0,0,69,69,0.44,721736
p0571l00s000126.c,859875,17009,2154,176125,8720,0,0,0,0.43,0,0,0,0,67,67,0.44,709256
p0571l00s000604.c,862414,17091,1972,176664,8686,0,0,0,0.43,0,0,0,0,68,68,0.43,719704
p0571l00s000355.c,855716,17014,1086,175275,8689,0,0,0,0.41,0,0,0,0,66,66,0.41,642226
p0571l00s000598.c,857633,16920,2111,175731,8760,0,0,0,0.43,0,0,0,0,66,66,0.43,709102
p0571l00s000437.c,882114,17115,1545,180298,8801,0,0,0,0.42,0,0,0,0,69,69,0.43,687007
p0571l00s000175.c,886930,16913,2066,180753,8801,0,0,0,0.44,0,0,0,0,70,70,0.44,723227
p0571l00s000577.c,863766,16942,2028,177042,8703,0,0,0,0.43,0,0,0,0,68,68,0.43,733550
p0571l00s000076.c,882374,17190,2070,180958,8895,0,0,0,0.45,0,0,0,0,69,69,0.45,741984
