Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0362l00s002020.c,852362,16847,2104,174111,8752,0,0,0,0.43,0,0,0,0,66,66,0.43,686452
p0362l00s001263.c,873415,17278,2071,178466,8930,0,0,0,0.44,0,0,0,0,68,68,0.44,728050
p0362l00s000633.c,837568,16681,2036,171609,8656,0,0,0,0.42,0,0,0,0,65,65,0.42,701254
p0362l00s002498.c,850498,17190,2106,173101,8771,0,0,0,0.44,0,0,0,0,66,66,0.44,729897
p0362l00s001261.c,848754,16673,2116,173271,8644,0,0,0,0.43,0,0,0,0,67,67,0.43,709792
p0362l00s001997.c,865109,16794,2094,177249,8646,0,0,0,0.43,0,0,0,0,68,68,0.43,704302
p0362l00s001624.c,847387,16827,2053,173081,8694,0,0,0,0.43,0,0,0,0,65,65,0.43,711210
p0362l00s001423.c,855647,16796,1983,175411,8726,0,0,0,0.43,0,0,0,0,68,68,0.43,715222
p0362l00s000966.c,866781,17116,1246,176532,8870,0,0,0,0.43,0,0,0,0,67,67,0.43,660519
p0362l00s002346.c,852042,16917,1327,174642,8690,0,0,0,0.42,0,0,0,0,67,67,0.42,685281
p0362l00s003199.c,858085,16955,2034,175813,8697,0,0,0,0.43,0,0,0,0,67,67,0.43,708332
p0362l00s003524.c,850032,16774,1257,173266,8652,0,0,0,0.41,0,0,0,0,65,65,0.41,684155
p0362l00s003456.c,859477,16916,1943,175314,8731,0,0,0,0.43,0,0,0,0,66,66,0.43,703867
p0362l00s004298.c,864875,17079,1289,176103,8704,0,0,0,0.41,0,0,0,0,67,67,0.41,632254
p0362l00s000281.c,840954,17219,1253,172380,8950,0,0,0,0.40,0,0,0,0,66,66,0.41,714334
p0362l00s000102.c,861837,16889,2036,175552,8787,0,0,0,0.45,0,0,0,0,67,67,0.45,727296
p0362l00s004141.c,867529,17255,2132,177713,8756,0,0,0,0.44,0,0,0,0,68,68,0.44,733667
p0362l00s002268.c,851646,16736,2109,173866,8772,0,0,0,0.43,0,0,0,0,67,67,0.43,710966
p0362l00s001176.c,854049,16884,2103,174447,8705,0,0,0,0.43,0,0,0,0,66,66,0.43,716662
