Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0457l00s000671.c,878721,17055,2172,180068,8834,0,0,0,0.44,0,0,0,0,68,68,0.44,723286
p0457l00s000096.c,884763,17391,2321,181280,8895,0,0,0,0.44,0,0,0,0,71,71,0.44,728983
p0457l00s000078.c,884602,17189,2108,181448,8830,0,0,0,0.44,0,0,0,0,68,68,0.44,726118
p0457l00s000594.c,906747,18473,1827,185687,9049,0,0,0,0.47,0,0,0,0,72,72,0.47,721123
p0457l00s000319.c,880843,17222,2142,180590,8726,0,0,0,0.44,0,0,0,0,68,68,0.44,730131
p0457l00s000130.c,868098,17238,1791,177425,8887,0,0,0,0.43,0,0,0,0,67,67,0.43,700160
p0457l00s000688.c,903681,17704,2397,183680,8917,0,0,0,0.45,0,0,0,0,71,71,0.45,734582
p0457l00s000727.c,2176312,44892,10565,405008,9574,0,0,0,1.09,0,0,0,0,458,458,1.09,1320924
p0457l00s000395.c,2177006,44690,24990,405578,9644,0,0,0,1.37,0,0,0,0,457,457,1.37,1650987
p0457l00s000338.c,900166,17538,2253,184331,9006,0,0,0,0.44,0,0,0,0,72,72,0.44,729937
p0457l00s000068.c,891092,17674,2572,182645,8775,0,0,0,0.45,0,0,0,0,71,71,0.45,745210
p0457l00s000664.c,905542,17289,2242,184754,8853,0,0,0,0.45,0,0,0,0,70,70,0.45,736324
p0457l00s000552.c,6317498,132107,86107,1119506,12130,0,0,1,4.06,0,0,0,0,1631,1631,4.06,4400183
p0457l00s000262.c,894504,17931,2422,182642,9079,0,0,0,0.49,0,0,0,0,69,69,0.49,734999
p0457l00s000577.c,870783,17061,2157,178258,8797,0,0,0,0.44,0,0,0,0,68,68,0.44,722656
p0457l00s000144.c,875521,17162,2393,178987,8785,0,0,0,0.45,0,0,0,0,67,67,0.45,736670
p0457l00s000729.c,878177,17218,2594,179932,8809,0,0,0,0.43,0,0,0,0,69,69,0.43,702159
p0457l00s000525.c,904111,17881,1520,184236,8961,0,0,0,0.41,0,0,0,0,72,72,0.41,645136
p0457l00s000532.c,860316,16967,2103,176403,8755,0,0,0,0.44,0,0,0,0,67,67,0.44,722174
p0457l00s000730.c,882382,18058,2442,180699,8916,0,0,0,0.47,0,0,0,0,68,68,0.47,719920
p0457l00s000121.c,3584068,73377,36223,647522,10589,0,0,0,2.10,0,0,0,0,849,849,2.10,2392594
p0457l00s000519.c,6283619,131535,85081,1112314,11649,0,0,0,4.00,0,0,0,0,1629,1629,4.00,4244226
p0457l00s000558.c,888294,17649,2304,181415,8871,0,0,0,0.45,0,0,0,0,71,71,0.45,725263
p0457l00s000343.c,4924397,102330,70284,879489,11195,0,0,0,3.06,0,0,0,0,1238,1238,3.06,3302703
p0457l00s000684.c,886690,18188,1980,180254,9034,0,0,0,0.45,0,0,0,0,67,67,0.45,689761
p0457l00s000491.c,884920,17031,2159,181131,8824,0,0,0,0.44,0,0,0,0,69,69,0.44,738698
p0457l00s000299.c,887797,17800,969,181838,8990,0,0,0,0.44,0,0,0,0,68,68,0.44,626904
p0457l00s000239.c,906997,17780,2597,184768,8871,0,0,0,0.46,0,0,0,0,71,71,0.46,756011
p0457l00s000015.c,874418,16922,1663,179366,8861,0,0,0,0.45,0,0,0,0,69,69,0.45,724146
p0457l00s000718.c,900199,17795,1970,183045,8834,0,0,0,0.44,0,0,0,0,71,71,0.44,709272
p0457l00s000097.c,877362,17391,1875,179897,9146,0,0,0,0.43,0,0,0,0,68,68,0.43,713881
p0457l00s000104.c,881316,17676,1700,179816,9042,0,0,0,0.45,0,0,0,0,69,69,0.45,697303
p0457l00s000120.c,886377,17924,1625,181533,9217,0,0,0,0.47,0,0,0,0,68,68,0.47,816838
p0457l00s000341.c,889026,18159,2139,181639,9070,0,0,0,0.44,0,0,0,0,68,68,0.44,721815
p0457l00s000531.c,883482,17181,2139,181089,8806,0,0,0,0.44,0,0,0,0,69,69,0.44,720555
p0457l00s000627.c,915978,17711,2446,187690,8966,0,0,0,0.46,0,0,0,0,74,74,0.46,735289
p0457l00s000570.c,884564,17958,1597,181212,8920,0,0,0,0.47,0,0,0,0,68,68,0.47,732540
p0457l00s000250.c,2197808,45661,25386,409637,9745,0,0,0,1.39,0,0,0,0,459,459,1.39,1655152
p0457l00s000542.c,866169,16959,2472,177584,8773,0,0,0,0.45,0,0,0,0,68,68,0.45,739841
p0457l00s000310.c,865160,17109,2053,177155,8858,0,0,0,0.43,0,0,0,0,67,67,0.44,723223
p0457l00s000081.c,877976,17001,2147,179492,8863,0,0,0,0.44,0,0,0,0,68,68,0.44,724979
p0457l00s000678.c,907909,17592,1870,186067,9085,0,0,0,0.44,0,0,0,0,72,72,0.45,736098
p0457l00s000180.c,2175843,44820,26587,405222,9609,0,0,0,1.34,0,0,0,0,458,458,1.34,1629227
p0457l00s000672.c,890142,17989,2073,181508,9048,0,0,0,0.48,0,0,0,0,70,70,0.48,725525
p0457l00s000194.c,887427,18193,1747,181650,9126,0,0,0,0.49,0,0,0,0,70,70,0.49,782523
p0457l00s000693.c,865057,17579,1606,177140,8971,0,0,0,0.47,0,0,0,0,66,66,0.47,798997
p0457l00s000038.c,1056855,22403,4181,214388,10419,0,0,2,0.56,0,0,0,0,64,65,0.56,192170370
p0457l00s000054.c,875351,18654,1002,179334,9153,0,0,0,0.45,0,0,0,0,68,68,0.45,646808
p0457l00s000609.c,862984,16909,2374,176388,8789,0,0,0,0.44,0,0,0,0,67,67,0.44,695950
p0457l00s000725.c,3629091,74030,38324,655868,10574,0,0,0,2.19,0,0,0,0,850,850,2.19,2482846
p0457l00s000518.c,891250,18552,2663,182575,9061,0,0,0,0.46,0,0,0,0,70,70,0.46,708174
p0457l00s000255.c,2166041,44899,25856,402954,9637,0,0,0,1.37,0,0,0,0,457,457,1.37,1654601
p0457l00s000187.c,889256,17813,2296,182202,8933,0,0,0,0.44,0,0,0,0,70,70,0.44,718263
p0457l00s000571.c,3581971,73484,43543,649234,10476,0,0,0,2.17,0,0,0,0,850,850,2.17,2424674
p0457l00s000182.c,864678,17115,2063,176663,8875,0,0,0,0.43,0,0,0,0,66,66,0.43,714730
p0457l00s000565.c,895500,17433,2262,183041,8987,0,0,0,0.45,0,0,0,0,70,70,0.45,719724
p0457l00s000487.c,905515,17949,2157,184337,9051,0,0,0,0.46,0,0,0,0,70,70,0.46,738536
p0457l00s000557.c,3590225,74024,41406,648695,10507,0,0,0,2.21,0,0,0,0,851,851,2.21,2467516
p0457l00s000163.c,907532,18038,2406,184617,8896,0,0,0,0.45,0,0,0,0,71,71,0.45,728543
p0457l00s000734.c,901354,17431,2277,184686,8887,0,0,0,0.45,0,0,0,0,71,71,0.45,741003
p0457l00s000028.c,871567,17076,2075,178528,8845,0,0,0,0.43,0,0,0,0,68,68,0.43,723747
p0457l00s000398.c,890892,17475,2116,182072,8814,0,0,0,0.44,0,0,0,0,69,69,0.44,736816
p0457l00s000293.c,883150,17118,2201,179711,8846,0,0,0,0.44,0,0,0,0,68,68,0.44,739604
p0457l00s000580.c,882884,18069,2286,179740,9077,0,0,0,0.46,0,0,0,0,66,66,0.46,760994
p0457l00s000690.c,892869,17722,2605,181636,8897,0,0,0,0.45,0,0,0,0,71,71,0.45,757030
p0457l00s000025.c,895866,18368,2694,183403,9210,0,0,0,0.49,0,0,0,0,70,70,0.49,735809
p0457l00s000221.c,878182,18311,2429,179881,9022,0,0,0,0.49,0,0,0,0,67,67,0.49,745624
p0457l00s000210.c,912370,18537,2146,185797,9145,0,0,0,0.47,0,0,0,0,71,71,0.47,714763
p0457l00s000236.c,2171342,45297,26156,404006,9699,0,0,0,1.39,0,0,0,0,457,457,1.39,1640639
p0457l00s000523.c,899396,17308,2259,183845,8849,0,0,0,0.45,0,0,0,0,72,72,0.45,714609
p0457l00s000272.c,861184,17086,2034,176522,8846,0,0,0,0.43,0,0,0,0,66,66,0.43,715390
p0457l00s000530.c,880433,17452,2314,180174,9024,0,0,0,0.44,0,0,0,0,71,71,0.44,722150
p0457l00s000296.c,886019,17467,2283,181558,8872,0,0,0,0.45,0,0,0,0,71,71,0.45,722552
p0457l00s000566.c,880291,17570,2228,180233,8861,0,0,0,0.44,0,0,0,0,71,71,0.44,687398
p0457l00s000388.c,877056,17289,2229,179882,8817,0,0,0,0.44,0,0,0,0,68,68,0.44,722749
